"region","type of property","variable","value","year"
"1881 Kumla","multi-dwelling and commercial buildings","non_residential","78",2010
"1881 Kumla","industrial buildings","non_residential","307",2010
"1881 Kumla","total","non_residential","385",2010
"1882 Askersund","one- or two dwelling buildings","non_residential",NA,2010
"1882 Askersund","multi-dwelling and commercial buildings","non_residential","47",2010
"1882 Askersund","industrial buildings","non_residential","144",2010
"1882 Askersund","total","non_residential","190",2010
"1883 Karlskoga","one- or two dwelling buildings","non_residential",NA,2010
"1883 Karlskoga","multi-dwelling and commercial buildings","non_residential","328",2010
"1883 Karlskoga","industrial buildings","non_residential","641",2010
"1883 Karlskoga","total","non_residential","969",2010
"1884 Nora","one- or two dwelling buildings","non_residential",NA,2010
"1884 Nora","multi-dwelling and commercial buildings","non_residential","49",2010
"1884 Nora","industrial buildings","non_residential","94",2010
"1884 Nora","total","non_residential","143",2010
"1885 Lindesberg","one- or two dwelling buildings","non_residential",NA,2010
"1885 Lindesberg","multi-dwelling and commercial buildings","non_residential","138",2010
"1885 Lindesberg","industrial buildings","non_residential","395",2010
"1885 Lindesberg","total","non_residential","533",2010
"1904 Skinnskatteberg","one- or two dwelling buildings","non_residential",NA,2010
"1904 Skinnskatteberg","multi-dwelling and commercial buildings","non_residential","13",2010
"1904 Skinnskatteberg","industrial buildings","non_residential","72",2010
"1904 Skinnskatteberg","total","non_residential","85",2010
"1907 Surahammar","one- or two dwelling buildings","non_residential",NA,2010
"1907 Surahammar","multi-dwelling and commercial buildings","non_residential","52",2010
"1907 Surahammar","industrial buildings","non_residential","193",2010
"1907 Surahammar","total","non_residential","245",2010
"1960 Kungsör","one- or two dwelling buildings","non_residential",NA,2010
"1960 Kungsör","multi-dwelling and commercial buildings","non_residential","49",2010
"1960 Kungsör","industrial buildings","non_residential","116",2010
"1960 Kungsör","total","non_residential","165",2010
"1961 Hallstahammar","one- or two dwelling buildings","non_residential",NA,2010
"1961 Hallstahammar","multi-dwelling and commercial buildings","non_residential","83",2010
"1961 Hallstahammar","industrial buildings","non_residential","314",2010
"1961 Hallstahammar","total","non_residential","398",2010
"1962 Norberg","one- or two dwelling buildings","non_residential",NA,2010
"1962 Norberg","multi-dwelling and commercial buildings","non_residential","32",2010
"1962 Norberg","industrial buildings","non_residential","71",2010
"1962 Norberg","total","non_residential","103",2010
"1980 Västerås","one- or two dwelling buildings","non_residential",NA,2010
"1980 Västerås","multi-dwelling and commercial buildings","non_residential","1595",2010
"1980 Västerås","industrial buildings","non_residential","1389",2010
"1980 Västerås","total","non_residential","2985",2010
"1981 Sala","one- or two dwelling buildings","non_residential",NA,2010
"1981 Sala","multi-dwelling and commercial buildings","non_residential","158",2010
"1981 Sala","industrial buildings","non_residential","172",2010
"1981 Sala","total","non_residential","329",2010
"1982 Fagersta","one- or two dwelling buildings","non_residential",NA,2010
"1982 Fagersta","multi-dwelling and commercial buildings","non_residential","105",2010
"1982 Fagersta","industrial buildings","non_residential","267",2010
"1982 Fagersta","total","non_residential","372",2010
"1983 Köping","one- or two dwelling buildings","non_residential",NA,2010
"1983 Köping","multi-dwelling and commercial buildings","non_residential","207",2010
"1983 Köping","industrial buildings","non_residential","581",2010
"1983 Köping","total","non_residential","788",2010
"1984 Arboga","one- or two dwelling buildings","non_residential",NA,2010
"1984 Arboga","multi-dwelling and commercial buildings","non_residential","102",2010
"1984 Arboga","industrial buildings","non_residential","189",2010
"1984 Arboga","total","non_residential","291",2010
"2021 Vansbro","one- or two dwelling buildings","non_residential",NA,2010
"2021 Vansbro","multi-dwelling and commercial buildings","non_residential","35",2010
"2021 Vansbro","industrial buildings","non_residential","107",2010
"2021 Vansbro","total","non_residential","142",2010
"2023 Malung-Sälen","one- or two dwelling buildings","non_residential",NA,2010
"2023 Malung-Sälen","multi-dwelling and commercial buildings","non_residential","85",2010
"2023 Malung-Sälen","industrial buildings","non_residential","169",2010
"2023 Malung-Sälen","total","non_residential","255",2010
"2026 Gagnef","one- or two dwelling buildings","non_residential",NA,2010
"2026 Gagnef","multi-dwelling and commercial buildings","non_residential","29",2010
"2026 Gagnef","industrial buildings","non_residential","127",2010
"2026 Gagnef","total","non_residential","156",2010
"2029 Leksand","one- or two dwelling buildings","non_residential",NA,2010
"2029 Leksand","multi-dwelling and commercial buildings","non_residential","142",2010
"2029 Leksand","industrial buildings","non_residential","278",2010
"2029 Leksand","total","non_residential","419",2010
"2031 Rättvik","one- or two dwelling buildings","non_residential",NA,2010
"2031 Rättvik","multi-dwelling and commercial buildings","non_residential","69",2010
"2031 Rättvik","industrial buildings","non_residential","99",2010
"2031 Rättvik","total","non_residential","168",2010
"2034 Orsa","one- or two dwelling buildings","non_residential",NA,2010
"2034 Orsa","multi-dwelling and commercial buildings","non_residential","32",2010
"2034 Orsa","industrial buildings","non_residential","66",2010
"2034 Orsa","total","non_residential","98",2010
"2039 Älvdalen","one- or two dwelling buildings","non_residential",NA,2010
"2039 Älvdalen","multi-dwelling and commercial buildings","non_residential","38",2010
"2039 Älvdalen","industrial buildings","non_residential","48",2010
"2039 Älvdalen","total","non_residential","86",2010
"2061 Smedjebacken","one- or two dwelling buildings","non_residential",NA,2010
"2061 Smedjebacken","multi-dwelling and commercial buildings","non_residential","51",2010
"2061 Smedjebacken","industrial buildings","non_residential","173",2010
"2061 Smedjebacken","total","non_residential","224",2010
"2062 Mora","one- or two dwelling buildings","non_residential",NA,2010
"2062 Mora","multi-dwelling and commercial buildings","non_residential","165",2010
"2062 Mora","industrial buildings","non_residential","293",2010
"2062 Mora","total","non_residential","458",2010
"2080 Falun","one- or two dwelling buildings","non_residential",NA,2010
"2080 Falun","multi-dwelling and commercial buildings","non_residential","627",2010
"2080 Falun","industrial buildings","non_residential","468",2010
"2080 Falun","total","non_residential","1095",2010
"2081 Borlänge","one- or two dwelling buildings","non_residential",NA,2010
"2081 Borlänge","multi-dwelling and commercial buildings","non_residential","621",2010
"2081 Borlänge","industrial buildings","non_residential","1005",2010
"2081 Borlänge","total","non_residential","1626",2010
"2082 Säter","one- or two dwelling buildings","non_residential",NA,2010
"2082 Säter","multi-dwelling and commercial buildings","non_residential","46",2010
"2082 Säter","industrial buildings","non_residential","76",2010
"2082 Säter","total","non_residential","121",2010
"2083 Hedemora","one- or two dwelling buildings","non_residential",NA,2010
"2083 Hedemora","multi-dwelling and commercial buildings","non_residential","122",2010
"2083 Hedemora","industrial buildings","non_residential","223",2010
"2083 Hedemora","total","non_residential","344",2010
"2084 Avesta","one- or two dwelling buildings","non_residential",NA,2010
"2084 Avesta","multi-dwelling and commercial buildings","non_residential","190",2010
"2084 Avesta","industrial buildings","non_residential","538",2010
"2084 Avesta","total","non_residential","728",2010
"2085 Ludvika","one- or two dwelling buildings","non_residential",NA,2010
"2085 Ludvika","multi-dwelling and commercial buildings","non_residential","246",2010
"2085 Ludvika","industrial buildings","non_residential","379",2010
"2085 Ludvika","total","non_residential","625",2010
"2101 Ockelbo","one- or two dwelling buildings","non_residential",NA,2010
"2101 Ockelbo","multi-dwelling and commercial buildings","non_residential","24",2010
"2101 Ockelbo","industrial buildings","non_residential","53",2010
"2101 Ockelbo","total","non_residential","78",2010
"2104 Hofors","one- or two dwelling buildings","non_residential",NA,2010
"2104 Hofors","multi-dwelling and commercial buildings","non_residential","74",2010
"2104 Hofors","industrial buildings","non_residential","290",2010
"2104 Hofors","total","non_residential","364",2010
"2121 Ovanåker","one- or two dwelling buildings","non_residential",NA,2010
"2121 Ovanåker","multi-dwelling and commercial buildings","non_residential","64",2010
"2121 Ovanåker","industrial buildings","non_residential","285",2010
"2121 Ovanåker","total","non_residential","349",2010
"2132 Nordanstig","one- or two dwelling buildings","non_residential",NA,2010
"2132 Nordanstig","multi-dwelling and commercial buildings","non_residential","36",2010
"2132 Nordanstig","industrial buildings","non_residential","69",2010
"2132 Nordanstig","total","non_residential","105",2010
"2161 Ljusdal","one- or two dwelling buildings","non_residential",NA,2010
"2161 Ljusdal","multi-dwelling and commercial buildings","non_residential","132",2010
"2161 Ljusdal","industrial buildings","non_residential","139",2010
"2161 Ljusdal","total","non_residential","271",2010
"2180 Gävle","one- or two dwelling buildings","non_residential",NA,2010
"2180 Gävle","multi-dwelling and commercial buildings","non_residential","1065",2010
"2180 Gävle","industrial buildings","non_residential","1311",2010
"2180 Gävle","total","non_residential","2376",2010
"2181 Sandviken","one- or two dwelling buildings","non_residential",NA,2010
"2181 Sandviken","multi-dwelling and commercial buildings","non_residential","309",2010
"2181 Sandviken","industrial buildings","non_residential","775",2010
"2181 Sandviken","total","non_residential","1084",2010
"2182 Söderhamn","one- or two dwelling buildings","non_residential",NA,2010
"2182 Söderhamn","multi-dwelling and commercial buildings","non_residential","200",2010
"2182 Söderhamn","industrial buildings","non_residential","380",2010
"2182 Söderhamn","total","non_residential","580",2010
"2183 Bollnäs","one- or two dwelling buildings","non_residential",NA,2010
"2183 Bollnäs","multi-dwelling and commercial buildings","non_residential","226",2010
"2183 Bollnäs","industrial buildings","non_residential","212",2010
"2183 Bollnäs","total","non_residential","438",2010
"2184 Hudiksvall","one- or two dwelling buildings","non_residential",NA,2010
"2184 Hudiksvall","multi-dwelling and commercial buildings","non_residential","300",2010
"2184 Hudiksvall","industrial buildings","non_residential","540",2010
"2184 Hudiksvall","total","non_residential","840",2010
"2260 Ånge","one- or two dwelling buildings","non_residential",NA,2010
"2260 Ånge","multi-dwelling and commercial buildings","non_residential","80",2010
"2260 Ånge","industrial buildings","non_residential","137",2010
"2260 Ånge","total","non_residential","217",2010
"2262 Timrå","one- or two dwelling buildings","non_residential",NA,2010
"2262 Timrå","multi-dwelling and commercial buildings","non_residential","70",2010
"2262 Timrå","industrial buildings","non_residential","304",2010
"2262 Timrå","total","non_residential","374",2010
"2280 Härnösand","one- or two dwelling buildings","non_residential",NA,2010
"2280 Härnösand","multi-dwelling and commercial buildings","non_residential","258",2010
"2280 Härnösand","industrial buildings","non_residential","234",2010
"2280 Härnösand","total","non_residential","492",2010
"2281 Sundsvall","one- or two dwelling buildings","non_residential",NA,2010
"2281 Sundsvall","multi-dwelling and commercial buildings","non_residential","1180",2010
"2281 Sundsvall","industrial buildings","non_residential","1274",2010
"2281 Sundsvall","total","non_residential","2454",2010
"2282 Kramfors","one- or two dwelling buildings","non_residential",NA,2010
"2282 Kramfors","multi-dwelling and commercial buildings","non_residential","126",2010
"2282 Kramfors","industrial buildings","non_residential","289",2010
"2282 Kramfors","total","non_residential","415",2010
"2283 Sollefteå","one- or two dwelling buildings","non_residential",NA,2010
"2283 Sollefteå","multi-dwelling and commercial buildings","non_residential","158",2010
"2283 Sollefteå","industrial buildings","non_residential","175",2010
"2283 Sollefteå","total","non_residential","332",2010
"2284 Örnsköldsvik","one- or two dwelling buildings","non_residential",NA,2010
"2284 Örnsköldsvik","multi-dwelling and commercial buildings","non_residential","392",2010
"2284 Örnsköldsvik","industrial buildings","non_residential","1052",2010
"2284 Örnsköldsvik","total","non_residential","1444",2010
"2303 Ragunda","one- or two dwelling buildings","non_residential",NA,2010
"2303 Ragunda","multi-dwelling and commercial buildings","non_residential","31",2010
"2303 Ragunda","industrial buildings","non_residential","63",2010
"2303 Ragunda","total","non_residential","94",2010
"2305 Bräcke","one- or two dwelling buildings","non_residential",NA,2010
"2305 Bräcke","multi-dwelling and commercial buildings","non_residential","25",2010
"2305 Bräcke","industrial buildings","non_residential","98",2010
"2305 Bräcke","total","non_residential","123",2010
"2309 Krokom","one- or two dwelling buildings","non_residential",NA,2010
"2309 Krokom","multi-dwelling and commercial buildings","non_residential","39",2010
"2309 Krokom","industrial buildings","non_residential","96",2010
"2309 Krokom","total","non_residential","135",2010
"2313 Strömsund","one- or two dwelling buildings","non_residential",NA,2010
"2313 Strömsund","multi-dwelling and commercial buildings","non_residential","77",2010
"2313 Strömsund","industrial buildings","non_residential","129",2010
"2313 Strömsund","total","non_residential","206",2010
"2321 Åre","one- or two dwelling buildings","non_residential",NA,2010
"2321 Åre","multi-dwelling and commercial buildings","non_residential","127",2010
"2321 Åre","industrial buildings","non_residential","27",2010
"2321 Åre","total","non_residential","155",2010
"2326 Berg","one- or two dwelling buildings","non_residential",NA,2010
"2326 Berg","multi-dwelling and commercial buildings","non_residential","29",2010
"2326 Berg","industrial buildings","non_residential","35",2010
"2326 Berg","total","non_residential","64",2010
"2361 Härjedalen","one- or two dwelling buildings","non_residential",NA,2010
"2361 Härjedalen","multi-dwelling and commercial buildings","non_residential","76",2010
"2361 Härjedalen","industrial buildings","non_residential","120",2010
"2361 Härjedalen","total","non_residential","197",2010
"2380 Östersund","one- or two dwelling buildings","non_residential",NA,2010
"2380 Östersund","multi-dwelling and commercial buildings","non_residential","832",2010
"2380 Östersund","industrial buildings","non_residential","500",2010
"2380 Östersund","total","non_residential","1332",2010
"2401 Nordmaling","one- or two dwelling buildings","non_residential",NA,2010
"2401 Nordmaling","multi-dwelling and commercial buildings","non_residential","23",2010
"2401 Nordmaling","industrial buildings","non_residential","64",2010
"2401 Nordmaling","total","non_residential","88",2010
"2403 Bjurholm","one- or two dwelling buildings","non_residential",NA,2010
"2403 Bjurholm","multi-dwelling and commercial buildings","non_residential","6",2010
"2403 Bjurholm","industrial buildings","non_residential","21",2010
"2403 Bjurholm","total","non_residential","26",2010
"2404 Vindeln","one- or two dwelling buildings","non_residential",NA,2010
"2404 Vindeln","multi-dwelling and commercial buildings","non_residential","40",2010
"2404 Vindeln","industrial buildings","non_residential","19",2010
"2404 Vindeln","total","non_residential","59",2010
"2409 Robertsfors","one- or two dwelling buildings","non_residential",NA,2010
"2409 Robertsfors","multi-dwelling and commercial buildings","non_residential","25",2010
"2409 Robertsfors","industrial buildings","non_residential","74",2010
"2409 Robertsfors","total","non_residential","98",2010
"2417 Norsjö","one- or two dwelling buildings","non_residential",NA,2010
"2417 Norsjö","multi-dwelling and commercial buildings","non_residential","21",2010
"2417 Norsjö","industrial buildings","non_residential","42",2010
"2417 Norsjö","total","non_residential","63",2010
"2418 Malå","one- or two dwelling buildings","non_residential",NA,2010
"2418 Malå","multi-dwelling and commercial buildings","non_residential","15",2010
"2418 Malå","industrial buildings","non_residential","84",2010
"2418 Malå","total","non_residential","99",2010
"2421 Storuman","one- or two dwelling buildings","non_residential",NA,2010
"2421 Storuman","multi-dwelling and commercial buildings","non_residential","61",2010
"2421 Storuman","industrial buildings","non_residential","50",2010
"2421 Storuman","total","non_residential","111",2010
"2422 Sorsele","one- or two dwelling buildings","non_residential",NA,2010
"2422 Sorsele","multi-dwelling and commercial buildings","non_residential","13",2010
"2422 Sorsele","industrial buildings","non_residential","17",2010
"2422 Sorsele","total","non_residential","30",2010
"2425 Dorotea","one- or two dwelling buildings","non_residential",NA,2010
"2425 Dorotea","multi-dwelling and commercial buildings","non_residential","18",2010
"2425 Dorotea","industrial buildings","non_residential","47",2010
"2425 Dorotea","total","non_residential","65",2010
"2460 Vännäs","one- or two dwelling buildings","non_residential",NA,2010
"2460 Vännäs","multi-dwelling and commercial buildings","non_residential","29",2010
"2460 Vännäs","industrial buildings","non_residential","27",2010
"2460 Vännäs","total","non_residential","56",2010
"2462 Vilhelmina","one- or two dwelling buildings","non_residential",NA,2010
"2462 Vilhelmina","multi-dwelling and commercial buildings","non_residential","41",2010
"2462 Vilhelmina","industrial buildings","non_residential","69",2010
"2462 Vilhelmina","total","non_residential","109",2010
"2463 Åsele","one- or two dwelling buildings","non_residential",NA,2010
"2463 Åsele","multi-dwelling and commercial buildings","non_residential","22",2010
"2463 Åsele","industrial buildings","non_residential","50",2010
"2463 Åsele","total","non_residential","72",2010
"2480 Umeå","one- or two dwelling buildings","non_residential",NA,2010
"2480 Umeå","multi-dwelling and commercial buildings","non_residential","964",2010
"2480 Umeå","industrial buildings","non_residential","1081",2010
"2480 Umeå","total","non_residential","2045",2010
"2481 Lycksele","one- or two dwelling buildings","non_residential",NA,2010
"2481 Lycksele","multi-dwelling and commercial buildings","non_residential","113",2010
"2481 Lycksele","industrial buildings","non_residential","164",2010
"2481 Lycksele","total","non_residential","277",2010
"2482 Skellefteå","one- or two dwelling buildings","non_residential",NA,2010
"2482 Skellefteå","multi-dwelling and commercial buildings","non_residential","545",2010
"2482 Skellefteå","industrial buildings","non_residential","864",2010
"2482 Skellefteå","total","non_residential","1409",2010
"2505 Arvidsjaur","one- or two dwelling buildings","non_residential",NA,2010
"2505 Arvidsjaur","multi-dwelling and commercial buildings","non_residential","66",2010
"2505 Arvidsjaur","industrial buildings","non_residential","44",2010
"2505 Arvidsjaur","total","non_residential","111",2010
"2506 Arjeplog","one- or two dwelling buildings","non_residential",NA,2010
"2506 Arjeplog","multi-dwelling and commercial buildings","non_residential","19",2010
"2506 Arjeplog","industrial buildings","non_residential","23",2010
"2506 Arjeplog","total","non_residential","42",2010
"2510 Jokkmokk","one- or two dwelling buildings","non_residential",NA,2010
"2510 Jokkmokk","multi-dwelling and commercial buildings","non_residential","35",2010
"2510 Jokkmokk","industrial buildings","non_residential","65",2010
"2510 Jokkmokk","total","non_residential","100",2010
"2513 Överkalix","one- or two dwelling buildings","non_residential",NA,2010
"2513 Överkalix","multi-dwelling and commercial buildings","non_residential","22",2010
"2513 Överkalix","industrial buildings","non_residential","3",2010
"2513 Överkalix","total","non_residential","25",2010
"2514 Kalix","one- or two dwelling buildings","non_residential",NA,2010
"2514 Kalix","multi-dwelling and commercial buildings","non_residential","114",2010
"2514 Kalix","industrial buildings","non_residential","294",2010
"2514 Kalix","total","non_residential","408",2010
"2518 Övertorneå","one- or two dwelling buildings","non_residential",NA,2010
"2518 Övertorneå","multi-dwelling and commercial buildings","non_residential","26",2010
"2518 Övertorneå","industrial buildings","non_residential","36",2010
"2518 Övertorneå","total","non_residential","62",2010
"2521 Pajala","one- or two dwelling buildings","non_residential",NA,2010
"2521 Pajala","multi-dwelling and commercial buildings","non_residential","24",2010
"2521 Pajala","industrial buildings","non_residential","35",2010
"2521 Pajala","total","non_residential","59",2010
"2523 Gällivare","one- or two dwelling buildings","non_residential",NA,2010
"2523 Gällivare","multi-dwelling and commercial buildings","non_residential","155",2010
"2523 Gällivare","industrial buildings","non_residential","159",2010
"2523 Gällivare","total","non_residential","315",2010
"2560 Älvsbyn","one- or two dwelling buildings","non_residential",NA,2010
"2560 Älvsbyn","multi-dwelling and commercial buildings","non_residential","39",2010
"2560 Älvsbyn","industrial buildings","non_residential","116",2010
"2560 Älvsbyn","total","non_residential","155",2010
"2580 Luleå","one- or two dwelling buildings","non_residential",NA,2010
"2580 Luleå","multi-dwelling and commercial buildings","non_residential","837",2010
"2580 Luleå","industrial buildings","non_residential","961",2010
"2580 Luleå","total","non_residential","1799",2010
"2581 Piteå","one- or two dwelling buildings","non_residential",NA,2010
"2581 Piteå","multi-dwelling and commercial buildings","non_residential","297",2010
"2581 Piteå","industrial buildings","non_residential","525",2010
"2581 Piteå","total","non_residential","822",2010
"2582 Boden","one- or two dwelling buildings","non_residential",NA,2010
"2582 Boden","multi-dwelling and commercial buildings","non_residential","200",2010
"2582 Boden","industrial buildings","non_residential","132",2010
"2582 Boden","total","non_residential","332",2010
"2583 Haparanda","one- or two dwelling buildings","non_residential",NA,2010
"2583 Haparanda","multi-dwelling and commercial buildings","non_residential","131",2010
"2583 Haparanda","industrial buildings","non_residential","106",2010
"2583 Haparanda","total","non_residential","237",2010
"2584 Kiruna","one- or two dwelling buildings","non_residential",NA,2010
"2584 Kiruna","multi-dwelling and commercial buildings","non_residential","247",2010
"2584 Kiruna","industrial buildings","non_residential","141",2010
"2584 Kiruna","total","non_residential","389",2010
"0114 Upplands Väsby","one- or two dwelling buildings","non_residential",NA,2015
"0114 Upplands Väsby","multi-dwelling and commercial buildings","non_residential","440",2015
"0114 Upplands Väsby","industrial buildings","non_residential","341",2015
"0114 Upplands Väsby","total","non_residential","781",2015
"0115 Vallentuna","one- or two dwelling buildings","non_residential",NA,2015
"0115 Vallentuna","multi-dwelling and commercial buildings","non_residential","79",2015
"0115 Vallentuna","industrial buildings","non_residential","144",2015
"0115 Vallentuna","total","non_residential","223",2015
"0117 Österåker","one- or two dwelling buildings","non_residential",NA,2015
"0117 Österåker","multi-dwelling and commercial buildings","non_residential","171",2015
"0117 Österåker","industrial buildings","non_residential","127",2015
"0117 Österåker","total","non_residential","299",2015
"0120 Värmdö","one- or two dwelling buildings","non_residential",NA,2015
"0120 Värmdö","multi-dwelling and commercial buildings","non_residential","205",2015
"0120 Värmdö","industrial buildings","non_residential","136",2015
"0120 Värmdö","total","non_residential","341",2015
"0123 Järfälla","one- or two dwelling buildings","non_residential",NA,2015
"0123 Järfälla","multi-dwelling and commercial buildings","non_residential","645",2015
"0123 Järfälla","industrial buildings","non_residential","636",2015
"0123 Järfälla","total","non_residential","1281",2015
"0125 Ekerö","one- or two dwelling buildings","non_residential",NA,2015
"0125 Ekerö","multi-dwelling and commercial buildings","non_residential","38",2015
"0125 Ekerö","industrial buildings","non_residential","64",2015
"0125 Ekerö","total","non_residential","101",2015
"0126 Huddinge","one- or two dwelling buildings","non_residential",NA,2015
"0126 Huddinge","multi-dwelling and commercial buildings","non_residential","965",2015
"0126 Huddinge","industrial buildings","non_residential","632",2015
"0126 Huddinge","total","non_residential","1597",2015
"0127 Botkyrka","one- or two dwelling buildings","non_residential",NA,2015
"0127 Botkyrka","multi-dwelling and commercial buildings","non_residential","394",2015
"0127 Botkyrka","industrial buildings","non_residential","547",2015
"0127 Botkyrka","total","non_residential","941",2015
"0128 Salem","one- or two dwelling buildings","non_residential",NA,2015
"0128 Salem","multi-dwelling and commercial buildings","non_residential","26",2015
"0128 Salem","industrial buildings","non_residential","8",2015
"0128 Salem","total","non_residential","34",2015
"0136 Haninge","one- or two dwelling buildings","non_residential",NA,2015
"0136 Haninge","multi-dwelling and commercial buildings","non_residential","523",2015
"0136 Haninge","industrial buildings","non_residential","754",2015
"0136 Haninge","total","non_residential","1277",2015
"0138 Tyresö","one- or two dwelling buildings","non_residential",NA,2015
"0138 Tyresö","multi-dwelling and commercial buildings","non_residential","121",2015
"0138 Tyresö","industrial buildings","non_residential","188",2015
"0138 Tyresö","total","non_residential","309",2015
"0139 Upplands-Bro","one- or two dwelling buildings","non_residential",NA,2015
"0139 Upplands-Bro","multi-dwelling and commercial buildings","non_residential","69",2015
"0139 Upplands-Bro","industrial buildings","non_residential","222",2015
"0139 Upplands-Bro","total","non_residential","291",2015
"0140 Nykvarn","one- or two dwelling buildings","non_residential",NA,2015
"0140 Nykvarn","multi-dwelling and commercial buildings","non_residential","9",2015
"0140 Nykvarn","industrial buildings","non_residential","110",2015
"0140 Nykvarn","total","non_residential","119",2015
"0160 Täby","one- or two dwelling buildings","non_residential",NA,2015
"0160 Täby","multi-dwelling and commercial buildings","non_residential","555",2015
"0160 Täby","industrial buildings","non_residential","306",2015
"0160 Täby","total","non_residential","861",2015
"0162 Danderyd","one- or two dwelling buildings","non_residential",NA,2015
"0162 Danderyd","multi-dwelling and commercial buildings","non_residential","297",2015
"0162 Danderyd","industrial buildings","non_residential","68",2015
"0162 Danderyd","total","non_residential","365",2015
"0163 Sollentuna","one- or two dwelling buildings","non_residential",NA,2015
"0163 Sollentuna","multi-dwelling and commercial buildings","non_residential","750",2015
"0163 Sollentuna","industrial buildings","non_residential","335",2015
"0163 Sollentuna","total","non_residential","1084",2015
"0180 Stockholm","one- or two dwelling buildings","non_residential",NA,2015
"0180 Stockholm","multi-dwelling and commercial buildings","non_residential","15732",2015
"0180 Stockholm","industrial buildings","non_residential","3030",2015
"0180 Stockholm","total","non_residential","18762",2015
"0181 Södertälje","one- or two dwelling buildings","non_residential",NA,2015
"0181 Södertälje","multi-dwelling and commercial buildings","non_residential","799",2015
"0181 Södertälje","industrial buildings","non_residential","1299",2015
"0181 Södertälje","total","non_residential","2098",2015
"0182 Nacka","one- or two dwelling buildings","non_residential",NA,2015
"0182 Nacka","multi-dwelling and commercial buildings","non_residential","906",2015
"0182 Nacka","industrial buildings","non_residential","313",2015
"0182 Nacka","total","non_residential","1220",2015
"0183 Sundbyberg","one- or two dwelling buildings","non_residential",NA,2015
"0183 Sundbyberg","multi-dwelling and commercial buildings","non_residential","811",2015
"0183 Sundbyberg","industrial buildings","non_residential","44",2015
"0183 Sundbyberg","total","non_residential","855",2015
"0184 Solna","one- or two dwelling buildings","non_residential",NA,2015
"0184 Solna","multi-dwelling and commercial buildings","non_residential","2410",2015
"0184 Solna","industrial buildings","non_residential","274",2015
"0184 Solna","total","non_residential","2683",2015
"0186 Lidingö","one- or two dwelling buildings","non_residential",NA,2015
"0186 Lidingö","multi-dwelling and commercial buildings","non_residential","248",2015
"0186 Lidingö","industrial buildings","non_residential","120",2015
"0186 Lidingö","total","non_residential","368",2015
"0187 Vaxholm","one- or two dwelling buildings","non_residential",NA,2015
"0187 Vaxholm","multi-dwelling and commercial buildings","non_residential","26",2015
"0187 Vaxholm","industrial buildings","non_residential","20",2015
"0187 Vaxholm","total","non_residential","46",2015
"0188 Norrtälje","one- or two dwelling buildings","non_residential",NA,2015
"0188 Norrtälje","multi-dwelling and commercial buildings","non_residential","288",2015
"0188 Norrtälje","industrial buildings","non_residential","456",2015
"0188 Norrtälje","total","non_residential","744",2015
"0191 Sigtuna","one- or two dwelling buildings","non_residential",NA,2015
"0191 Sigtuna","multi-dwelling and commercial buildings","non_residential","167",2015
"0191 Sigtuna","industrial buildings","non_residential","351",2015
"0191 Sigtuna","total","non_residential","519",2015
"0192 Nynäshamn","one- or two dwelling buildings","non_residential",NA,2015
"0192 Nynäshamn","multi-dwelling and commercial buildings","non_residential","189",2015
"0192 Nynäshamn","industrial buildings","non_residential","83",2015
"0192 Nynäshamn","total","non_residential","272",2015
"0305 Håbo","one- or two dwelling buildings","non_residential",NA,2015
"0305 Håbo","multi-dwelling and commercial buildings","non_residential","73",2015
"0305 Håbo","industrial buildings","non_residential","160",2015
"0305 Håbo","total","non_residential","234",2015
"0319 Älvkarleby","one- or two dwelling buildings","non_residential",NA,2015
"0319 Älvkarleby","multi-dwelling and commercial buildings","non_residential","37",2015
"0319 Älvkarleby","industrial buildings","non_residential","187",2015
"0319 Älvkarleby","total","non_residential","224",2015
"0330 Knivsta","one- or two dwelling buildings","non_residential",NA,2015
"0330 Knivsta","multi-dwelling and commercial buildings","non_residential","43",2015
"0330 Knivsta","industrial buildings","non_residential","18",2015
"0330 Knivsta","total","non_residential","61",2015
"0331 Heby","one- or two dwelling buildings","non_residential",NA,2015
"0331 Heby","multi-dwelling and commercial buildings","non_residential","37",2015
"0331 Heby","industrial buildings","non_residential","128",2015
"0331 Heby","total","non_residential","165",2015
"0360 Tierp","one- or two dwelling buildings","non_residential",NA,2015
"0360 Tierp","multi-dwelling and commercial buildings","non_residential","98",2015
"0360 Tierp","industrial buildings","non_residential","246",2015
"0360 Tierp","total","non_residential","344",2015
"0380 Uppsala","one- or two dwelling buildings","non_residential",NA,2015
"0380 Uppsala","multi-dwelling and commercial buildings","non_residential","1774",2015
"0380 Uppsala","industrial buildings","non_residential","1101",2015
"0380 Uppsala","total","non_residential","2875",2015
"0381 Enköping","one- or two dwelling buildings","non_residential",NA,2015
"0381 Enköping","multi-dwelling and commercial buildings","non_residential","253",2015
"0381 Enköping","industrial buildings","non_residential","270",2015
"0381 Enköping","total","non_residential","523",2015
"0382 Östhammar","one- or two dwelling buildings","non_residential",NA,2015
"0382 Östhammar","multi-dwelling and commercial buildings","non_residential","87",2015
"0382 Östhammar","industrial buildings","non_residential","255",2015
"0382 Östhammar","total","non_residential","342",2015
"0428 Vingåker","one- or two dwelling buildings","non_residential",NA,2015
"0428 Vingåker","multi-dwelling and commercial buildings","non_residential","47",2015
"0428 Vingåker","industrial buildings","non_residential","107",2015
"0428 Vingåker","total","non_residential","154",2015
