"year","NUTS 3 CODE 2021","vald_clean","vald","type","LAU CODE","NUTS 3 CODE 2016","number","median_price_final","average_price_final"
2019,"EE00A","kohtlajarve linn","Kohtla-Järve linn","house",321,"EE007",16,178.56,214.41
2019,"EE00A","luganuse vald","Lüganuse vald","house",442,"EE007",33,175.05,197.37
2019,"EE00A","narva linn","Narva linn","house",511,"EE007",11,553.32,520.89
2019,"EE00A","narvajoesuu linn","Narva-Jõesuu linn","house",514,"EE007",14,580.1,845.87
2019,"EE00A","sillamae linn","Sillamäe linn","house",735,"EE007",NA,219.92,404.041428571429
2019,"EE00A","toila vald","Toila vald","house",803,"EE007",37,219.92,311.78
2020,"EE001","anija vald","Anija vald","house",141,"EE001",28,546.43,598.78
2020,"EE001","harku vald","Harku vald","house",198,"EE001",65,1433.76,1355.02
2020,"EE001","joelahtme vald","Jõelähtme vald","house",245,"EE001",24,1449.13,1479.42
2020,"EE001","keila linn","Keila linn","house",296,"EE001",22,1292.1,1332.61
2020,"EE001","kiili vald","Kiili vald","house",304,"EE001",40,1248.13,1215.6
2020,"EE001","kose vald","Kose vald","house",338,"EE001",23,994.85,891.84
2020,"EE001","kuusalu vald","Kuusalu vald","house",353,"EE001",31,965.52,1050.72
2020,"EE001","laaneharju vald","Lääne-Harju vald","house",431,"EE001",34,1139.93,1053.71
2020,"EE001","loksa linn","Loksa linn","house",424,"EE001",4,529.333333333333,618.326666666667
2020,"EE001","maardu linn","Maardu linn","house",446,"EE001",30,1595.29,1589.44
2020,"EE001","raasiku vald","Raasiku vald","house",651,"EE001",22,1165.82,1075.7
2020,"EE001","rae vald","Rae vald","house",653,"EE001",62,1554.41,1432.05
2020,"EE001","saku vald","Saku vald","house",718,"EE001",49,1367.32,1250.09
2020,"EE001","saue vald","Saue vald","house",726,"EE001",89,1241.89,1254.73
2020,"EE001","tallinn","Tallinn","house",784,"EE001",248,1606.22,1785.03
2020,"EE001","viimsi vald","Viimsi vald","house",890,"EE001",93,1486.83,1524.68
2020,"EE004","haademeeste vald","Häädemeeste vald","house",214,"EE004",22,683.28,707.01
2020,"EE004","haapsalu linn","Haapsalu linn","house",184,"EE004",35,732.14,705.19
2020,"EE004","hiiumaa vald","Hiiumaa vald","house",205,"EE004",29,573.61,568.65
2020,"EE004","kihnu vald","Kihnu vald","house",303,"EE004",NA,595.6,554.035
2020,"EE004","laanenigula vald","Lääne-Nigula vald","house",441,"EE004",25,194.24,304.63
2020,"EE004","laaneranna vald","Lääneranna vald","house",430,"EE004",33,289.12,323.44
2020,"EE004","muhu vald","Muhu vald","house",478,"EE004",2,998.85,957.58
2020,"EE004","parnu linn","Pärnu linn","house",624,"EE004",142,806.61,857.07
2020,"EE004","pohjaparnumaa vald","Põhja-Pärnumaa vald","house",638,"EE004",24,320.79,353.47
