"nuts","year","value","level","indicator","type.of.building"
"428","2007",1071,"laucode","bldn_sec","all"
"428","2008",1068,"laucode","bldn_sec","all"
"428","2009",1085,"laucode","bldn_sec","all"
"428","2010",1093,"laucode","bldn_sec","all"
"428","2011",1078,"laucode","bldn_sec","all"
"428","2012",1111,"laucode","bldn_sec","all"
"428","2013",1112,"laucode","bldn_sec","all"
"428","2014",1103,"laucode","bldn_sec","all"
"428","2015",1141,"laucode","bldn_sec","all"
"428","2016",1139,"laucode","bldn_sec","all"
"428","2017",1124,"laucode","bldn_sec","all"
"428","2018",1157,"laucode","bldn_sec","all"
"428","2019",1167,"laucode","bldn_sec","all"
"428","2020",1176,"laucode","bldn_sec","all"
"428","2021",1184,"laucode","bldn_sec","all"
"428","2022",1186,"laucode","bldn_sec","all"
"428","2023",1188,"laucode","bldn_sec","all"
"428","2024",1237,"laucode","bldn_sec","all"
"461","1998",1683,"laucode","bldn_sec","all"
"461","1999",1669,"laucode","bldn_sec","all"
"461","2000",1671,"laucode","bldn_sec","all"
"461","2001",1647,"laucode","bldn_sec","all"
"461","2002",1636,"laucode","bldn_sec","all"
"461","2003",1724,"laucode","bldn_sec","all"
"461","2004",1710,"laucode","bldn_sec","all"
"461","2005",1673,"laucode","bldn_sec","all"
"461","2006",1680,"laucode","bldn_sec","all"
"461","2007",1628,"laucode","bldn_sec","all"
"461","2008",1620,"laucode","bldn_sec","all"
"461","2009",1638,"laucode","bldn_sec","all"
"461","2010",1635,"laucode","bldn_sec","all"
"461","2011",1640,"laucode","bldn_sec","all"
"461","2012",1682,"laucode","bldn_sec","all"
"461","2013",1646,"laucode","bldn_sec","all"
"461","2014",1668,"laucode","bldn_sec","all"
"461","2015",1688,"laucode","bldn_sec","all"
"461","2016",1713,"laucode","bldn_sec","all"
"461","2017",1699,"laucode","bldn_sec","all"
"461","2018",1723,"laucode","bldn_sec","all"
"461","2019",1719,"laucode","bldn_sec","all"
"461","2020",1715,"laucode","bldn_sec","all"
"461","2021",1722,"laucode","bldn_sec","all"
"461","2022",1727,"laucode","bldn_sec","all"
"461","2023",1720,"laucode","bldn_sec","all"
"461","2024",1738,"laucode","bldn_sec","all"
"480","1998",2808,"laucode","bldn_sec","all"
