"year","type","nuts","value","level","measure"
2018,"house","0191",3225,"laucode","price"
2019,"all","0191",4562,"laucode","price"
2019,"flat","0191",5832,"laucode","price"
2019,"house","0191",3201,"laucode","price"
2020,"all","0191",4891,"laucode","price"
2020,"flat","0191",6252,"laucode","price"
2020,"house","0191",3431,"laucode","price"
2021,"all","0191",5793,"laucode","price"
2021,"flat","0191",7406,"laucode","price"
2021,"house","0191",4064,"laucode","price"
2022,"all","0191",6031,"laucode","price"
2022,"flat","0191",7824,"laucode","price"
2022,"house","0191",4231,"laucode","price"
2023,"all","0191",5363,"laucode","price"
2023,"flat","0191",6956,"laucode","price"
2023,"house","0191",3732,"laucode","price"
2024,"all","0191",5346,"laucode","price"
2024,"flat","0191",6935,"laucode","price"
2024,"house","0191",3721,"laucode","price"
2013,"all","0192",2342,"laucode","price"
2013,"flat","0192",2826,"laucode","price"
2013,"house","0192",1951,"laucode","price"
2014,"all","0192",2608,"laucode","price"
2014,"flat","0192",3147,"laucode","price"
2014,"house","0192",2173,"laucode","price"
2015,"all","0192",2969,"laucode","price"
2015,"flat","0192",3583,"laucode","price"
2015,"house","0192",2473,"laucode","price"
2016,"all","0192",3231,"laucode","price"
2016,"flat","0192",3899,"laucode","price"
2016,"house","0192",2692,"laucode","price"
2017,"all","0192",3418,"laucode","price"
2017,"flat","0192",4126,"laucode","price"
2017,"house","0192",2848,"laucode","price"
2018,"all","0192",3244,"laucode","price"
2018,"flat","0192",3915,"laucode","price"
2018,"house","0192",2703,"laucode","price"
2019,"all","0192",3219,"laucode","price"
2019,"flat","0192",3885,"laucode","price"
2019,"house","0192",2682,"laucode","price"
2020,"all","0192",3451,"laucode","price"
2020,"flat","0192",4165,"laucode","price"
2020,"house","0192",2876,"laucode","price"
2021,"all","0192",4182,"laucode","price"
2021,"flat","0192",5081,"laucode","price"
2021,"house","0192",3406,"laucode","price"
2022,"all","0192",4354,"laucode","price"
2022,"flat","0192",5370,"laucode","price"
2022,"house","0192",3546,"laucode","price"
2023,"all","0192",3871,"laucode","price"
2023,"flat","0192",4775,"laucode","price"
2023,"house","0192",3153,"laucode","price"
2024,"all","0192",3859,"laucode","price"
2024,"flat","0192",4760,"laucode","price"
2024,"house","0192",3115,"laucode","price"
2013,"all","0305",1961,"laucode","price"
2013,"flat","0305",3355,"laucode","price"
2013,"house","0305",1697,"laucode","price"
2014,"all","0305",2103,"laucode","price"
2014,"flat","0305",3545,"laucode","price"
2014,"house","0305",1804,"laucode","price"
2015,"all","0305",2337,"laucode","price"
2015,"flat","0305",3939,"laucode","price"
2015,"house","0305",2005,"laucode","price"
2016,"all","0305",2539,"laucode","price"
2016,"flat","0305",4343,"laucode","price"
2016,"house","0305",2179,"laucode","price"
2017,"all","0305",2753,"laucode","price"
2017,"flat","0305",4709,"laucode","price"
2017,"house","0305",2382,"laucode","price"
2018,"all","0305",2812,"laucode","price"
2018,"flat","0305",4766,"laucode","price"
2018,"house","0305",2411,"laucode","price"
2019,"all","0305",2935,"laucode","price"
2019,"flat","0305",5000,"laucode","price"
2019,"house","0305",2492,"laucode","price"
2020,"all","0305",3103,"laucode","price"
2020,"flat","0305",5287,"laucode","price"
2020,"house","0305",2635,"laucode","price"
2021,"all","0305",3647,"laucode","price"
2021,"flat","0305",6213,"laucode","price"
2021,"house","0305",3097,"laucode","price"
2022,"all","0305",3839,"laucode","price"
2022,"flat","0305",6579,"laucode","price"
2022,"house","0305",3230,"laucode","price"
2023,"all","0305",3470,"laucode","price"
2023,"flat","0305",5981,"laucode","price"
2023,"house","0305",2892,"laucode","price"
2024,"all","0305",3468,"laucode","price"
2024,"flat","0305",5920,"laucode","price"
2024,"house","0305",2862,"laucode","price"
2013,"all","0319",1013,"laucode","price"
2013,"flat","0319",1281,"laucode","price"
2013,"house","0319",905,"laucode","price"
2014,"all","0319",1086,"laucode","price"
2014,"flat","0319",1373,"laucode","price"
2014,"house","0319",970,"laucode","price"
2015,"all","0319",1206,"laucode","price"
2015,"flat","0319",1526,"laucode","price"
2015,"house","0319",1078,"laucode","price"
2016,"all","0319",1311,"laucode","price"
2016,"flat","0319",1658,"laucode","price"
2016,"house","0319",1171,"laucode","price"
2017,"all","0319",1422,"laucode","price"
2017,"flat","0319",1798,"laucode","price"
2017,"house","0319",1270,"laucode","price"
2018,"all","0319",1439,"laucode","price"
