nuts,year,type.of.building,value,level
SE211,2016,other,75.17060531884,nuts3
SE212,2016,all,103.029748068847,nuts3
SE212,2016,flat,68.1362621595471,nuts3
SE212,2016,house,125.629101344435,nuts3
SE212,2016,other,75.7879167363366,nuts3
SE213,2016,all,97.4518846298966,nuts3
SE213,2016,flat,66.6398837510344,nuts3
SE213,2016,house,118.3864944618,nuts3
SE213,2016,other,76.8562100089541,nuts3
SE214,2016,all,94.3,nuts3
SE214,2016,flat,66.9,nuts3
SE214,2016,house,110.1,nuts3
SE214,2016,other,78,nuts3
SE221,2017,all,95.2706775315524,nuts3
SE221,2017,flat,64.8607476506389,nuts3
SE221,2017,house,117.383753611267,nuts3
SE221,2017,other,75.033494835371,nuts3
SE110,2017,all,84.5019629486983,nuts3
SE110,2017,flat,67.7916781126946,nuts3
SE110,2017,house,123.398998130242,nuts3
SE110,2017,other,69.0597262102155,nuts3
SE224,2017,all,95.8515533403103,nuts3
SE224,2017,flat,68.9770295290311,nuts3
SE224,2017,house,123.872920575845,nuts3
SE224,2017,other,79.3578706011015,nuts3
SE231,2017,all,103.097229013529,nuts3
SE231,2017,flat,68.9204309472178,nuts3
SE231,2017,house,124.117548778841,nuts3
SE231,2017,other,74.2839303652686,nuts3
SE232,2017,all,91.5797040179357,nuts3
SE232,2017,flat,66.3510683350867,nuts3
SE232,2017,house,119.694819860319,nuts3
SE232,2017,other,72.5424208535632,nuts3
SE311,2017,all,94.2874235504696,nuts3
SE311,2017,flat,65.2474779825934,nuts3
SE311,2017,house,118.007526895669,nuts3
SE311,2017,other,71.6311645053688,nuts3
SE124,2017,all,91.6143072422762,nuts3
SE124,2017,flat,67.2682085623395,nuts3
SE124,2017,house,117.775244191894,nuts3
SE124,2017,other,71.7005775573905,nuts3
SE125,2017,all,91.19462004248,nuts3
SE125,2017,flat,67.9459531919077,nuts3
SE125,2017,house,121.515961362483,nuts3
SE125,2017,other,81.1637770184465,nuts3
SE312,2017,all,93.7516692536488,nuts3
SE312,2017,flat,63.8782033603247,nuts3
SE312,2017,house,113.965671803131,nuts3
SE312,2017,other,71.755144895436,nuts3
SE313,2017,all,91.3762611041452,nuts3
SE313,2017,flat,64.3509817363394,nuts3
SE313,2017,house,113.934614036597,nuts3
SE313,2017,other,76.1640567598472,nuts3
SE321,2017,all,94.4033664756165,nuts3
SE321,2017,flat,67.0291057370994,nuts3
SE321,2017,house,118.537497581223,nuts3
SE321,2017,other,73.4631127016368,nuts3
SE322,2017,all,92.3651135323261,nuts3
SE322,2017,flat,66.0412058368817,nuts3
SE322,2017,house,112.91974629847,nuts3
SE322,2017,other,67.1125430376336,nuts3
SE331,2017,all,93.4216367461196,nuts3
SE331,2017,flat,66.3210719462047,nuts3
SE331,2017,house,120.060520845442,nuts3
SE331,2017,other,70.4978136603057,nuts3
SE332,2017,all,91.249840316053,nuts3
SE332,2017,flat,65.1065973233779,nuts3
SE332,2017,house,114.341080550754,nuts3
SE332,2017,other,71.1789820185694,nuts3
SE121,2017,all,93.12493565768,nuts3
SE121,2017,flat,68.2764998192278,nuts3
SE121,2017,house,121.708196011729,nuts3
SE121,2017,other,75.3385811193457,nuts3
SE122,2017,all,90.759390337554,nuts3
SE122,2017,flat,67.9182077712983,nuts3
SE122,2017,house,117.565308364227,nuts3
SE122,2017,other,75.4407657828168,nuts3
SE123,2017,all,91.605529448747,nuts3
SE123,2017,flat,68.3871424078031,nuts3
SE123,2017,house,120.540048594821,nuts3
SE123,2017,other,75.5853379468455,nuts3
SE211,2017,all,100.209794433522,nuts3
SE211,2017,flat,68.1911462135746,nuts3
SE211,2017,house,125.967195960602,nuts3
SE211,2017,other,75.5781767280952,nuts3
SE212,2017,all,102.896030913276,nuts3
SE212,2017,flat,68.0708220353441,nuts3
SE212,2017,house,125.515598271331,nuts3
SE212,2017,other,75.7455960828346,nuts3
SE213,2017,all,97.3256670931109,nuts3
SE213,2017,flat,66.6966778679161,nuts3
SE213,2017,house,118.297716887821,nuts3
SE213,2017,other,76.4203380407353,nuts3
SE214,2017,all,94,nuts3
SE214,2017,flat,67,nuts3
SE214,2017,house,109.7,nuts3
SE214,2017,other,77.7,nuts3
SE221,2018,all,95.1663559600217,nuts3
SE221,2018,flat,64.9006955019799,nuts3
SE221,2018,house,117.261342835725,nuts3
SE221,2018,other,74.6293876257787,nuts3
SE110,2018,all,84.238430228133,nuts3
SE110,2018,flat,67.6364623469542,nuts3
SE110,2018,house,123.447698614915,nuts3
SE110,2018,other,68.3625494032802,nuts3
SE224,2018,all,95.5420798840032,nuts3
SE224,2018,flat,68.8594046810162,nuts3
SE224,2018,house,123.737394441355,nuts3
SE224,2018,other,78.5334625389174,nuts3
SE231,2018,all,102.766457106685,nuts3
SE231,2018,flat,68.3098962467824,nuts3
SE231,2018,house,123.412995435857,nuts3
SE231,2018,other,74.0662795772509,nuts3
SE232,2018,all,91.3767626623352,nuts3
SE232,2018,flat,66.2778061590296,nuts3
SE232,2018,house,119.724020446394,nuts3
SE232,2018,other,72.2827939417471,nuts3
SE311,2018,all,93.9461335265718,nuts3
SE311,2018,flat,65.1772486215486,nuts3
SE311,2018,house,117.957037218105,nuts3
SE311,2018,other,71.0946916321523,nuts3
SE124,2018,all,91.2236506399859,nuts3
SE124,2018,flat,66.9634167278341,nuts3
SE124,2018,house,117.765351439968,nuts3
SE124,2018,other,71.4263850187331,nuts3
SE125,2018,all,91.0501990046215,nuts3
SE125,2018,flat,67.9163477878313,nuts3
SE125,2018,house,121.640840294908,nuts3
SE125,2018,other,78.7382596878372,nuts3
SE312,2018,all,93.6207737732627,nuts3
