"year","level","code","type.of.building","value","measure"
2018,"laucode","1440","house",2709,"offer_pricem2"
2018,"laucode","1441","all",2963,"offer_pricem2"
2018,"laucode","1441","flat",3026,"offer_pricem2"
2018,"laucode","1441","house",2960,"offer_pricem2"
2018,"laucode","1442","all",1552,"offer_pricem2"
2018,"laucode","1442","flat",1779,"offer_pricem2"
2018,"laucode","1442","house",1510,"offer_pricem2"
2018,"laucode","1443","all",3210,"offer_pricem2"
2018,"laucode","1443","flat",2918,"offer_pricem2"
2018,"laucode","1443","house",3222,"offer_pricem2"
2018,"laucode","1444","all",2463,"offer_pricem2"
2018,"laucode","1444","flat",699,"offer_pricem2"
2018,"laucode","1444","house",2904,"offer_pricem2"
2018,"laucode","1445","all",1505,"offer_pricem2"
2018,"laucode","1445","house",1505,"offer_pricem2"
2018,"laucode","1446","all",870,"offer_pricem2"
2018,"laucode","1446","flat",348,"offer_pricem2"
2018,"laucode","1446","house",1058,"offer_pricem2"
2018,"laucode","1447","all",539,"offer_pricem2"
2018,"laucode","1447","flat",199,"offer_pricem2"
2018,"laucode","1447","house",635,"offer_pricem2"
2018,"laucode","1452","all",1126,"offer_pricem2"
2018,"laucode","1452","house",1126,"offer_pricem2"
2018,"laucode","1460","all",722,"offer_pricem2"
2018,"laucode","1460","house",722,"offer_pricem2"
2018,"laucode","1461","all",1119,"offer_pricem2"
2018,"laucode","1461","flat",1015,"offer_pricem2"
2018,"laucode","1461","house",1130,"offer_pricem2"
2018,"laucode","1462","all",1859,"offer_pricem2"
2018,"laucode","1462","flat",1528,"offer_pricem2"
2018,"laucode","1462","house",1889,"offer_pricem2"
2018,"laucode","1463","all",1720,"offer_pricem2"
2018,"laucode","1463","flat",1586,"offer_pricem2"
2018,"laucode","1463","house",1722,"offer_pricem2"
2018,"laucode","1465","all",947,"offer_pricem2"
2018,"laucode","1465","house",947,"offer_pricem2"
2018,"laucode","1466","all",1477,"offer_pricem2"
2018,"laucode","1466","house",1477,"offer_pricem2"
2018,"laucode","1470","all",1084,"offer_pricem2"
2018,"laucode","1470","flat",475,"offer_pricem2"
2018,"laucode","1470","house",1087,"offer_pricem2"
2018,"laucode","1471","all",1355,"offer_pricem2"
2018,"laucode","1471","flat",446,"offer_pricem2"
2018,"laucode","1471","house",1385,"offer_pricem2"
2018,"laucode","1472","all",1045,"offer_pricem2"
2018,"laucode","1472","flat",489,"offer_pricem2"
2018,"laucode","1472","house",1206,"offer_pricem2"
2018,"laucode","1473","all",913,"offer_pricem2"
2018,"laucode","1473","flat",526,"offer_pricem2"
2018,"laucode","1473","house",951,"offer_pricem2"
2018,"laucode","1480","all",4603,"offer_pricem2"
2018,"laucode","1480","flat",4619,"offer_pricem2"
2018,"laucode","1480","house",3972,"offer_pricem2"
