"lau_name","municipality","year","indicator","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","laucode","type"
"kambja vald","Kambja rural municipality",2004,"dwelling",965,"EE008","EE008",283,"all"
"kambja vald","Kambja rural municipality",2005,"dwelling",986,"EE008","EE008",283,"all"
"kambja vald","Ülenurme rural municipality",2003,"dwelling",1813,"EE008","EE008",283,"all"
"kambja vald","Ülenurme rural municipality",2004,"dwelling",1873,"EE008","EE008",283,"all"
"kambja vald","Ülenurme rural municipality",2005,"dwelling",1979,"EE008","EE008",283,"all"
"kambja vald","Kambja rural municipality",2006,"dwelling",1113,"EE008","EE008",283,"all"
"kambja vald","Kambja rural municipality",2007,"dwelling",1122,"EE008","EE008",283,"all"
"kambja vald","Ülenurme rural municipality",2006,"dwelling",2205,"EE008","EE008",283,"all"
"kambja vald","Ülenurme rural municipality",2007,"dwelling",2294,"EE008","EE008",283,"all"
"kanepi vald","Kanepi rural municipality",2003,"dwelling",968,"EE008","EE008",284,"all"
"kanepi vald","Kanepi rural municipality",2004,"dwelling",981,"EE008","EE008",284,"all"
"kanepi vald","Kanepi rural municipality",2005,"dwelling",993,"EE008","EE008",284,"all"
"kanepi vald","Kõlleste rural municipality",2003,"dwelling",489,"EE008","EE008",284,"all"
"kanepi vald","Kõlleste rural municipality",2004,"dwelling",502,"EE008","EE008",284,"all"
"kanepi vald","Kõlleste rural municipality",2005,"dwelling",513,"EE008","EE008",284,"all"
"kanepi vald","Valgjärve rural municipality",2003,"dwelling",656,"EE008","EE008",284,"all"
"kanepi vald","Valgjärve rural municipality",2004,"dwelling",671,"EE008","EE008",284,"all"
"kanepi vald","Valgjärve rural municipality",2005,"dwelling",680,"EE008","EE008",284,"all"
"kanepi vald","Kanepi rural municipality",2006,"dwelling",1031,"EE008","EE008",284,"all"
"kanepi vald","Kanepi rural municipality",2007,"dwelling",1034,"EE008","EE008",284,"all"
"kanepi vald","Kõlleste rural municipality",2006,"dwelling",542,"EE008","EE008",284,"all"
"kanepi vald","Kõlleste rural municipality",2007,"dwelling",542,"EE008","EE008",284,"all"
"kanepi vald","Valgjärve rural municipality",2006,"dwelling",699,"EE008","EE008",284,"all"
"kanepi vald","Valgjärve rural municipality",2007,"dwelling",700,"EE008","EE008",284,"all"
"kastre vald","Haaslava rural municipality",2003,"dwelling",737,"EE008","EE008",291,"all"
"kastre vald","Haaslava rural municipality",2004,"dwelling",748,"EE008","EE008",291,"all"
"kastre vald","Haaslava rural municipality",2005,"dwelling",758,"EE008","EE008",291,"all"
"kastre vald","Mäksa rural municipality",2003,"dwelling",684,"EE008","EE008",291,"all"
"kastre vald","Mäksa rural municipality",2004,"dwelling",708,"EE008","EE008",291,"all"
"kastre vald","Mäksa rural municipality",2005,"dwelling",717,"EE008","EE008",291,"all"
"kastre vald","Võnnu rural municipality",2003,"dwelling",610,"EE008","EE008",291,"all"
"kastre vald","Võnnu rural municipality",2004,"dwelling",628,"EE008","EE008",291,"all"
"kastre vald","Võnnu rural municipality",2005,"dwelling",632,"EE008","EE008",291,"all"
"kastre vald","Haaslava rural municipality",2006,"dwelling",897,"EE008","EE008",291,"all"
"kastre vald","Haaslava rural municipality",2007,"dwelling",899,"EE008","EE008",291,"all"
"kastre vald","Mäksa rural municipality",2006,"dwelling",775,"EE008","EE008",291,"all"
"kastre vald","Mäksa rural municipality",2007,"dwelling",780,"EE008","EE008",291,"all"
"kastre vald","Võnnu rural municipality",2006,"dwelling",654,"EE008","EE008",291,"all"
"kastre vald","Võnnu rural municipality",2007,"dwelling",654,"EE008","EE008",291,"all"
"kehtna vald","Järvakandi rural municipality",2003,"dwelling",912,"EE009","EE006",293,"all"
