"Location","Year","Indicator","dwellings"
"..Viru-Nigula rural municipality","2000","Total number of rooms",8356
"..Viru-Nigula rural municipality","2000","Average number of rooms per inhabitant",1.11
"..Viru-Nigula rural municipality","2011","Number of dwellings",2951
"..Viru-Nigula rural municipality","2011","Number of dwellings for which the number of rooms was recorded",2950
"..Viru-Nigula rural municipality","2011","Total number of rooms",7911
"..Viru-Nigula rural municipality","2011","Average number of rooms per inhabitant",1.27
"..Viru-Nigula rural municipality","2021","Number of dwellings",2667
"..Viru-Nigula rural municipality","2021","Number of dwellings for which the number of rooms was recorded",2663
"..Viru-Nigula rural municipality","2021","Total number of rooms",7077
"..Viru-Nigula rural municipality","2021","Average number of rooms per inhabitant",1.28
"....Kunda city as a settlement unit","2000","Number of dwellings",1738
"....Kunda city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",1732
"....Kunda city as a settlement unit","2000","Total number of rooms",4268
"....Kunda city as a settlement unit","2000","Average number of rooms per inhabitant",1.11
"....Kunda city as a settlement unit","2011","Number of dwellings",1591
"....Kunda city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",1590
"....Kunda city as a settlement unit","2011","Total number of rooms",4072
"....Kunda city as a settlement unit","2011","Average number of rooms per inhabitant",1.22
"....Kunda city as a settlement unit","2021","Number of dwellings",1439
"....Kunda city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1438
"....Kunda city as a settlement unit","2021","Total number of rooms",3718
"....Kunda city as a settlement unit","2021","Average number of rooms per inhabitant",1.27
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit","2000","Number of dwellings",1610
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",1606
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit","2000","Total number of rooms",4088
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit","2000","Average number of rooms per inhabitant",1.11
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit","2011","Number of dwellings",1360
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",1360
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit","2011","Total number of rooms",3839
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit","2011","Average number of rooms per inhabitant",1.32
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit","2021","Number of dwellings",1228
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1225
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit","2021","Total number of rooms",3359
"....Viru-Nigula rural municipality, excl. Kunda city as a settlement unit","2021","Average number of rooms per inhabitant",1.29
"..Väike-Maarja rural municipality","2000","Number of dwellings",3000
"..Väike-Maarja rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2994
"..Väike-Maarja rural municipality","2000","Total number of rooms",8912
"..Väike-Maarja rural municipality","2000","Average number of rooms per inhabitant",1.21
"..Väike-Maarja rural municipality","2011","Number of dwellings",2517
"..Väike-Maarja rural municipality","2011","Number of dwellings for which the number of rooms was recorded",2516
"..Väike-Maarja rural municipality","2011","Total number of rooms",8166
"..Väike-Maarja rural municipality","2011","Average number of rooms per inhabitant",1.4
"..Väike-Maarja rural municipality","2021","Number of dwellings",2455
"..Väike-Maarja rural municipality","2021","Number of dwellings for which the number of rooms was recorded",2443
"..Väike-Maarja rural municipality","2021","Total number of rooms",7719
"..Väike-Maarja rural municipality","2021","Average number of rooms per inhabitant",1.4
"PÕLVA COUNTY","2000","Number of dwellings",11245
"PÕLVA COUNTY","2000","Number of dwellings for which the number of rooms was recorded",11217
"PÕLVA COUNTY","2000","Total number of rooms",33911
"PÕLVA COUNTY","2000","Average number of rooms per inhabitant",1.17
"PÕLVA COUNTY","2011","Number of dwellings",10174
"PÕLVA COUNTY","2011","Number of dwellings for which the number of rooms was recorded",10163
"PÕLVA COUNTY","2011","Total number of rooms",33114
"PÕLVA COUNTY","2011","Average number of rooms per inhabitant",1.36
"PÕLVA COUNTY","2021","Number of dwellings",10401
"PÕLVA COUNTY","2021","Number of dwellings for which the number of rooms was recorded",10281
"PÕLVA COUNTY","2021","Total number of rooms",33179
"PÕLVA COUNTY","2021","Average number of rooms per inhabitant",1.43
"..Põlva county: city settlement region","2000","Number of dwellings",0
"..Põlva county: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",0
"..Põlva county: city settlement region","2000","Total number of rooms",0
"..Põlva county: city settlement region","2000","Average number of rooms per inhabitant",0
"..Põlva county: city settlement region","2011","Number of dwellings",0
"..Põlva county: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",0
"..Põlva county: city settlement region","2011","Total number of rooms",0
"..Põlva county: city settlement region","2011","Average number of rooms per inhabitant",0
"..Põlva county: city settlement region","2021","Number of dwellings",0
"..Põlva county: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",0
"..Põlva county: city settlement region","2021","Total number of rooms",0
"..Põlva county: city settlement region","2021","Average number of rooms per inhabitant",0
"..Põlva county: town settlement region","2000","Number of dwellings",2779
"..Põlva county: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",2777
"..Põlva county: town settlement region","2000","Total number of rooms",7636
"..Põlva county: town settlement region","2000","Average number of rooms per inhabitant",1.09
"..Põlva county: town settlement region","2011","Number of dwellings",2760
"..Põlva county: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",2760
"..Põlva county: town settlement region","2011","Total number of rooms",7917
"..Põlva county: town settlement region","2011","Average number of rooms per inhabitant",1.26
"..Põlva county: town settlement region","2021","Number of dwellings",2716
"..Põlva county: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",2701
"..Põlva county: town settlement region","2021","Total number of rooms",7685
"..Põlva county: town settlement region","2021","Average number of rooms per inhabitant",1.3
"..Põlva county: rural settlement region","2000","Number of dwellings",8466
"..Põlva county: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",8440
"..Põlva county: rural settlement region","2000","Total number of rooms",26275
"..Põlva county: rural settlement region","2000","Average number of rooms per inhabitant",1.19
"..Põlva county: rural settlement region","2011","Number of dwellings",7414
"..Põlva county: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",7403
"..Põlva county: rural settlement region","2011","Total number of rooms",25197
"..Põlva county: rural settlement region","2011","Average number of rooms per inhabitant",1.39
"..Põlva county: rural settlement region","2021","Number of dwellings",7685
"..Põlva county: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",7580
"..Põlva county: rural settlement region","2021","Total number of rooms",25494
"..Põlva county: rural settlement region","2021","Average number of rooms per inhabitant",1.48
"..Kanepi rural municipality","2000","Number of dwellings",2038
"..Kanepi rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2036
"..Kanepi rural municipality","2000","Total number of rooms",6229
"..Kanepi rural municipality","2000","Average number of rooms per inhabitant",1.19
"..Kanepi rural municipality","2011","Number of dwellings",1807
"..Kanepi rural municipality","2011","Number of dwellings for which the number of rooms was recorded",1804
"..Kanepi rural municipality","2011","Total number of rooms",6058
"..Kanepi rural municipality","2011","Average number of rooms per inhabitant",1.4
"..Kanepi rural municipality","2021","Number of dwellings",1861
"..Kanepi rural municipality","2021","Number of dwellings for which the number of rooms was recorded",1838
"..Kanepi rural municipality","2021","Total number of rooms",6062
"..Kanepi rural municipality","2021","Average number of rooms per inhabitant",1.44
"..Põlva rural municipality","2000","Number of dwellings",6042
"..Põlva rural municipality","2000","Number of dwellings for which the number of rooms was recorded",6029
"..Põlva rural municipality","2000","Total number of rooms",17861
"..Põlva rural municipality","2000","Average number of rooms per inhabitant",1.13
"..Põlva rural municipality","2011","Number of dwellings",5672
"..Põlva rural municipality","2011","Number of dwellings for which the number of rooms was recorded",5667
"..Põlva rural municipality","2011","Total number of rooms",17954
"..Põlva rural municipality","2011","Average number of rooms per inhabitant",1.31
"..Põlva rural municipality","2021","Number of dwellings",5782
"..Põlva rural municipality","2021","Number of dwellings for which the number of rooms was recorded",5708
"..Põlva rural municipality","2021","Total number of rooms",18003
"..Põlva rural municipality","2021","Average number of rooms per inhabitant",1.38
"....Põlva city as a settlement unit","2000","Number of dwellings",2549
"....Põlva city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",2548
"....Põlva city as a settlement unit","2000","Total number of rooms",6927
"....Põlva city as a settlement unit","2000","Average number of rooms per inhabitant",1.08
"....Põlva city as a settlement unit","2011","Number of dwellings",2526
"....Põlva city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",2526
"....Põlva city as a settlement unit","2011","Total number of rooms",7096
"....Põlva city as a settlement unit","2011","Average number of rooms per inhabitant",1.25
"....Põlva city as a settlement unit","2021","Number of dwellings",2480
"....Põlva city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",2470
"....Põlva city as a settlement unit","2021","Total number of rooms",6905
"....Põlva city as a settlement unit","2021","Average number of rooms per inhabitant",1.28
"....Põlva rural municipality, excl. Põlva city as a settlement unit","2000","Number of dwellings",3493
"....Põlva rural municipality, excl. Põlva city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",3481
"....Põlva rural municipality, excl. Põlva city as a settlement unit","2000","Total number of rooms",10934
"....Põlva rural municipality, excl. Põlva city as a settlement unit","2000","Average number of rooms per inhabitant",1.17
"....Põlva rural municipality, excl. Põlva city as a settlement unit","2011","Number of dwellings",3146
"....Põlva rural municipality, excl. Põlva city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",3141
"....Põlva rural municipality, excl. Põlva city as a settlement unit","2011","Total number of rooms",10858
"....Põlva rural municipality, excl. Põlva city as a settlement unit","2011","Average number of rooms per inhabitant",1.35
"....Põlva rural municipality, excl. Põlva city as a settlement unit","2021","Number of dwellings",3302
"....Põlva rural municipality, excl. Põlva city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",3238
"....Põlva rural municipality, excl. Põlva city as a settlement unit","2021","Total number of rooms",11098
"....Põlva rural municipality, excl. Põlva city as a settlement unit","2021","Average number of rooms per inhabitant",1.45
"..Räpina rural municipality","2000","Number of dwellings",3165
"..Räpina rural municipality","2000","Number of dwellings for which the number of rooms was recorded",3152
"..Räpina rural municipality","2000","Total number of rooms",9821
"..Räpina rural municipality","2000","Average number of rooms per inhabitant",1.22
"..Räpina rural municipality","2011","Number of dwellings",2695
"..Räpina rural municipality","2011","Number of dwellings for which the number of rooms was recorded",2692
"..Räpina rural municipality","2011","Total number of rooms",9102
"..Räpina rural municipality","2011","Average number of rooms per inhabitant",1.44
"..Räpina rural municipality","2021","Number of dwellings",2758
"..Räpina rural municipality","2021","Number of dwellings for which the number of rooms was recorded",2735
"..Räpina rural municipality","2021","Total number of rooms",9114
"..Räpina rural municipality","2021","Average number of rooms per inhabitant",1.55
"....Räpina city as a settlement unit","2000","Number of dwellings",1092
"....Räpina city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",1088
"....Räpina city as a settlement unit","2000","Total number of rooms",3321
"....Räpina city as a settlement unit","2000","Average number of rooms per inhabitant",1.19
"....Räpina city as a settlement unit","2011","Number of dwellings",1010
"....Räpina city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",1010
"....Räpina city as a settlement unit","2011","Total number of rooms",3270
"....Räpina city as a settlement unit","2011","Average number of rooms per inhabitant",1.42
"....Räpina city as a settlement unit","2021","Number of dwellings",1029
"....Räpina city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1021
"....Räpina city as a settlement unit","2021","Total number of rooms",3286
"....Räpina city as a settlement unit","2021","Average number of rooms per inhabitant",1.56
"....Räpina rural municipality, excl. Räpina city as a settlement unit","2000","Number of dwellings",2073
"....Räpina rural municipality, excl. Räpina city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",2064
"....Räpina rural municipality, excl. Räpina city as a settlement unit","2000","Total number of rooms",6500
"....Räpina rural municipality, excl. Räpina city as a settlement unit","2000","Average number of rooms per inhabitant",1.24
"....Räpina rural municipality, excl. Räpina city as a settlement unit","2011","Number of dwellings",1685
"....Räpina rural municipality, excl. Räpina city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",1682
"....Räpina rural municipality, excl. Räpina city as a settlement unit","2011","Total number of rooms",5832
"....Räpina rural municipality, excl. Räpina city as a settlement unit","2011","Average number of rooms per inhabitant",1.45
"....Räpina rural municipality, excl. Räpina city as a settlement unit","2021","Number of dwellings",1729
"....Räpina rural municipality, excl. Räpina city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1714
"....Räpina rural municipality, excl. Räpina city as a settlement unit","2021","Total number of rooms",5828
"....Räpina rural municipality, excl. Räpina city as a settlement unit","2021","Average number of rooms per inhabitant",1.54
"PÄRNU COUNTY","2000","Number of dwellings",36943
"PÄRNU COUNTY","2000","Number of dwellings for which the number of rooms was recorded",36879
"PÄRNU COUNTY","2000","Total number of rooms",107496
"PÄRNU COUNTY","2000","Average number of rooms per inhabitant",1.14
"PÄRNU COUNTY","2011","Number of dwellings",35962
"PÄRNU COUNTY","2011","Number of dwellings for which the number of rooms was recorded",35945
"PÄRNU COUNTY","2011","Total number of rooms",115359
"PÄRNU COUNTY","2011","Average number of rooms per inhabitant",1.37
"PÄRNU COUNTY","2021","Number of dwellings",36392
"PÄRNU COUNTY","2021","Number of dwellings for which the number of rooms was recorded",36120
"PÄRNU COUNTY","2021","Total number of rooms",111781
"PÄRNU COUNTY","2021","Average number of rooms per inhabitant",1.33
"..Pärnu county: city settlement region","2000","Number of dwellings",17974
"..Pärnu county: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",17955
"..Pärnu county: city settlement region","2000","Total number of rooms",48864
"..Pärnu county: city settlement region","2000","Average number of rooms per inhabitant",1.1
"..Pärnu county: city settlement region","2011","Number of dwellings",17596
"..Pärnu county: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",17592
"..Pärnu county: city settlement region","2011","Total number of rooms",51070
"..Pärnu county: city settlement region","2011","Average number of rooms per inhabitant",1.3
"..Pärnu county: city settlement region","2021","Number of dwellings",17330
"..Pärnu county: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",17215
"..Pärnu county: city settlement region","2021","Total number of rooms",48665
"..Pärnu county: city settlement region","2021","Average number of rooms per inhabitant",1.24
"..Pärnu county: town settlement region","2000","Number of dwellings",3010
"..Pärnu county: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",3006
"..Pärnu county: town settlement region","2000","Total number of rooms",8871
"..Pärnu county: town settlement region","2000","Average number of rooms per inhabitant",1.11
"..Pärnu county: town settlement region","2011","Number of dwellings",3760
"..Pärnu county: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",3757
"..Pärnu county: town settlement region","2011","Total number of rooms",13226
"..Pärnu county: town settlement region","2011","Average number of rooms per inhabitant",1.35
"..Pärnu county: town settlement region","2021","Number of dwellings",4006
"..Pärnu county: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",3988
"..Pärnu county: town settlement region","2021","Total number of rooms",13168
"..Pärnu county: town settlement region","2021","Average number of rooms per inhabitant",1.31
"..Pärnu county: rural settlement region","2000","Number of dwellings",15959
"..Pärnu county: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",15918
"..Pärnu county: rural settlement region","2000","Total number of rooms",49761
"..Pärnu county: rural settlement region","2000","Average number of rooms per inhabitant",1.2
"..Pärnu county: rural settlement region","2011","Number of dwellings",14606
"..Pärnu county: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",14596
"..Pärnu county: rural settlement region","2011","Total number of rooms",51063
"..Pärnu county: rural settlement region","2011","Average number of rooms per inhabitant",1.44
"..Pärnu county: rural settlement region","2021","Number of dwellings",15056
"..Pärnu county: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",14917
"..Pärnu county: rural settlement region","2021","Total number of rooms",49948
"..Pärnu county: rural settlement region","2021","Average number of rooms per inhabitant",1.45
"..Häädemeeste rural municipality","2000","Number of dwellings",1848
"..Häädemeeste rural municipality","2000","Number of dwellings for which the number of rooms was recorded",1847
"..Häädemeeste rural municipality","2000","Total number of rooms",5959
"..Häädemeeste rural municipality","2000","Average number of rooms per inhabitant",1.16
"..Häädemeeste rural municipality","2011","Number of dwellings",1824
"..Häädemeeste rural municipality","2011","Number of dwellings for which the number of rooms was recorded",1823
"..Häädemeeste rural municipality","2011","Total number of rooms",6723
"..Häädemeeste rural municipality","2011","Average number of rooms per inhabitant",1.42
"..Häädemeeste rural municipality","2021","Number of dwellings",1896
"..Häädemeeste rural municipality","2021","Number of dwellings for which the number of rooms was recorded",1874
"..Häädemeeste rural municipality","2021","Total number of rooms",6659
"..Häädemeeste rural municipality","2021","Average number of rooms per inhabitant",1.47
"..Kihnu rural municipality","2000","Number of dwellings",177
"..Kihnu rural municipality","2000","Number of dwellings for which the number of rooms was recorded",176
"..Kihnu rural municipality","2000","Total number of rooms",548
"..Kihnu rural municipality","2000","Average number of rooms per inhabitant",1.09
"..Kihnu rural municipality","2011","Number of dwellings",189
"..Kihnu rural municipality","2011","Number of dwellings for which the number of rooms was recorded",189
"..Kihnu rural municipality","2011","Total number of rooms",658
"..Kihnu rural municipality","2011","Average number of rooms per inhabitant",1.36
"..Kihnu rural municipality","2021","Number of dwellings",234
"..Kihnu rural municipality","2021","Number of dwellings for which the number of rooms was recorded",232
"..Kihnu rural municipality","2021","Total number of rooms",696
"..Kihnu rural municipality","2021","Average number of rooms per inhabitant",1.27
"..Lääneranna rural municipality","2000","Number of dwellings",2912
"..Lääneranna rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2897
"..Lääneranna rural municipality","2000","Total number of rooms",8897
"..Lääneranna rural municipality","2000","Average number of rooms per inhabitant",1.28
"..Lääneranna rural municipality","2011","Number of dwellings",2396
"..Lääneranna rural municipality","2011","Number of dwellings for which the number of rooms was recorded",2395
"..Lääneranna rural municipality","2011","Total number of rooms",8139
"..Lääneranna rural municipality","2011","Average number of rooms per inhabitant",1.51
"..Lääneranna rural municipality","2021","Number of dwellings",2362
"..Lääneranna rural municipality","2021","Number of dwellings for which the number of rooms was recorded",2334
"..Lääneranna rural municipality","2021","Total number of rooms",7606
"..Lääneranna rural municipality","2021","Average number of rooms per inhabitant",1.55
"....Lihula city as a settlement unit","2000","Number of dwellings",657
"....Lihula city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",656
"....Lihula city as a settlement unit","2000","Total number of rooms",1766
"....Lihula city as a settlement unit","2000","Average number of rooms per inhabitant",1.19
"....Lihula city as a settlement unit","2011","Number of dwellings",582
"....Lihula city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",582
"....Lihula city as a settlement unit","2011","Total number of rooms",1719
"....Lihula city as a settlement unit","2011","Average number of rooms per inhabitant",1.35
"....Lihula city as a settlement unit","2021","Number of dwellings",561
"....Lihula city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",559
"....Lihula city as a settlement unit","2021","Total number of rooms",1593
"....Lihula city as a settlement unit","2021","Average number of rooms per inhabitant",1.38
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit","2000","Number of dwellings",2255
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",2241
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit","2000","Total number of rooms",7131
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit","2000","Average number of rooms per inhabitant",1.31
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit","2011","Number of dwellings",1814
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",1813
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit","2011","Total number of rooms",6420
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit","2011","Average number of rooms per inhabitant",1.56
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit","2021","Number of dwellings",1801
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1775
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit","2021","Total number of rooms",6013
"....Lääneranna rural municipality, excl. Lihula city as a settlement unit","2021","Average number of rooms per inhabitant",1.6
"..Põhja-Pärnumaa rural municipality","2000","Number of dwellings",4042
"..Põhja-Pärnumaa rural municipality","2000","Number of dwellings for which the number of rooms was recorded",4032
"..Põhja-Pärnumaa rural municipality","2000","Total number of rooms",12413
"..Põhja-Pärnumaa rural municipality","2000","Average number of rooms per inhabitant",1.21
"..Põhja-Pärnumaa rural municipality","2011","Number of dwellings",3532
"..Põhja-Pärnumaa rural municipality","2011","Number of dwellings for which the number of rooms was recorded",3531
"..Põhja-Pärnumaa rural municipality","2011","Total number of rooms",11835
"..Põhja-Pärnumaa rural municipality","2011","Average number of rooms per inhabitant",1.43
"..Põhja-Pärnumaa rural municipality","2021","Number of dwellings",3538
"..Põhja-Pärnumaa rural municipality","2021","Number of dwellings for which the number of rooms was recorded",3514
"..Põhja-Pärnumaa rural municipality","2021","Total number of rooms",11373
"..Põhja-Pärnumaa rural municipality","2021","Average number of rooms per inhabitant",1.48
"..Pärnu city","2000","Number of dwellings",21541
"..Pärnu city","2000","Number of dwellings for which the number of rooms was recorded",21515
"..Pärnu city","2000","Total number of rooms",60028
"..Pärnu city","2000","Average number of rooms per inhabitant",1.1
"..Pärnu city","2011","Number of dwellings",21522
"..Pärnu city","2011","Number of dwellings for which the number of rooms was recorded",21513
"..Pärnu city","2011","Total number of rooms",65145
"..Pärnu city","2011","Average number of rooms per inhabitant",1.32
"..Pärnu city","2021","Number of dwellings",21577
"..Pärnu city","2021","Number of dwellings for which the number of rooms was recorded",21424
"..Pärnu city","2021","Total number of rooms",63281
"..Pärnu city","2021","Average number of rooms per inhabitant",1.26
"....Pärnu city as a settlement unit","2000","Number of dwellings",17974
"....Pärnu city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",17955
"....Pärnu city as a settlement unit","2000","Total number of rooms",48864
"....Pärnu city as a settlement unit","2000","Average number of rooms per inhabitant",1.1
"....Pärnu city as a settlement unit","2011","Number of dwellings",17596
"....Pärnu city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",17592
"....Pärnu city as a settlement unit","2011","Total number of rooms",51070
"....Pärnu city as a settlement unit","2011","Average number of rooms per inhabitant",1.3
"....Pärnu city as a settlement unit","2021","Number of dwellings",17330
"....Pärnu city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",17215
"....Pärnu city as a settlement unit","2021","Total number of rooms",48665
"....Pärnu city as a settlement unit","2021","Average number of rooms per inhabitant",1.24
"....Pärnu city, excl. Pärnu city as a settlement unit","2000","Number of dwellings",3567
"....Pärnu city, excl. Pärnu city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",3560
"....Pärnu city, excl. Pärnu city as a settlement unit","2000","Total number of rooms",11164
"....Pärnu city, excl. Pärnu city as a settlement unit","2000","Average number of rooms per inhabitant",1.13
"....Pärnu city, excl. Pärnu city as a settlement unit","2011","Number of dwellings",3926
"....Pärnu city, excl. Pärnu city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",3921
"....Pärnu city, excl. Pärnu city as a settlement unit","2011","Total number of rooms",14075
"....Pärnu city, excl. Pärnu city as a settlement unit","2011","Average number of rooms per inhabitant",1.38
"....Pärnu city, excl. Pärnu city as a settlement unit","2021","Number of dwellings",4247
"....Pärnu city, excl. Pärnu city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",4209
"....Pärnu city, excl. Pärnu city as a settlement unit","2021","Total number of rooms",14616
"....Pärnu city, excl. Pärnu city as a settlement unit","2021","Average number of rooms per inhabitant",1.35
"..Saarde rural municipality","2000","Number of dwellings",2428
"..Saarde rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2425
"..Saarde rural municipality","2000","Total number of rooms",7552
"..Saarde rural municipality","2000","Average number of rooms per inhabitant",1.22
"..Saarde rural municipality","2011","Number of dwellings",2013
"..Saarde rural municipality","2011","Number of dwellings for which the number of rooms was recorded",2012
"..Saarde rural municipality","2011","Total number of rooms",6910
"..Saarde rural municipality","2011","Average number of rooms per inhabitant",1.48
"..Saarde rural municipality","2021","Number of dwellings",1985
"..Saarde rural municipality","2021","Number of dwellings for which the number of rooms was recorded",1969
"..Saarde rural municipality","2021","Total number of rooms",6618
"..Saarde rural municipality","2021","Average number of rooms per inhabitant",1.57
"....Kilingi-Nõmme city as a settlement unit","2000","Number of dwellings",921
"....Kilingi-Nõmme city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",920
"....Kilingi-Nõmme city as a settlement unit","2000","Total number of rooms",2809
"....Kilingi-Nõmme city as a settlement unit","2000","Average number of rooms per inhabitant",1.28
"....Kilingi-Nõmme city as a settlement unit","2011","Number of dwellings",789
"....Kilingi-Nõmme city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",788
"....Kilingi-Nõmme city as a settlement unit","2011","Total number of rooms",2654
"....Kilingi-Nõmme city as a settlement unit","2011","Average number of rooms per inhabitant",1.56
"....Kilingi-Nõmme city as a settlement unit","2021","Number of dwellings",781
"....Kilingi-Nõmme city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",781
"....Kilingi-Nõmme city as a settlement unit","2021","Total number of rooms",2544
"....Kilingi-Nõmme city as a settlement unit","2021","Average number of rooms per inhabitant",1.63
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit","2000","Number of dwellings",1507
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",1505
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit","2000","Total number of rooms",4743
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit","2000","Average number of rooms per inhabitant",1.19
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit","2011","Number of dwellings",1224
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",1224
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit","2011","Total number of rooms",4256
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit","2011","Average number of rooms per inhabitant",1.44
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit","2021","Number of dwellings",1204
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1188
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit","2021","Total number of rooms",4074
"....Saarde rural municipality, excl. Kilingi-Nõmme city as a settlement unit","2021","Average number of rooms per inhabitant",1.53
"..Tori rural municipality","2000","Number of dwellings",3995
"..Tori rural municipality","2000","Number of dwellings for which the number of rooms was recorded",3987
"..Tori rural municipality","2000","Total number of rooms",12099
"..Tori rural municipality","2000","Average number of rooms per inhabitant",1.15
"..Tori rural municipality","2011","Number of dwellings",4486
"..Tori rural municipality","2011","Number of dwellings for which the number of rooms was recorded",4482
"..Tori rural municipality","2011","Total number of rooms",15949
"..Tori rural municipality","2011","Average number of rooms per inhabitant",1.37
"..Tori rural municipality","2021","Number of dwellings",4800
"..Tori rural municipality","2021","Number of dwellings for which the number of rooms was recorded",4773
"..Tori rural municipality","2021","Total number of rooms",15548
"..Tori rural municipality","2021","Average number of rooms per inhabitant",1.33
"....Sindi city as a settlement unit","2000","Number of dwellings",1681
"....Sindi city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",1677
"....Sindi city as a settlement unit","2000","Total number of rooms",4642
"....Sindi city as a settlement unit","2000","Average number of rooms per inhabitant",1.12
"....Sindi city as a settlement unit","2011","Number of dwellings",1566
"....Sindi city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",1565
