"municipality","year","type_of_building","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"järva vald","2000","Area of dwelling total",11474,"EE009","EE006",255
"järva vald","2011","Area of dwelling total",10476,"EE009","EE006",255
"järva vald","2021","Area of dwelling total",11516,"EE009","EE006",255
"järva vald","2000","Less than 30 m²",364,"EE009","EE006",255
"järva vald","2011","Less than 30 m²",214,"EE009","EE006",255
"järva vald","2021","Less than 30 m²",232,"EE009","EE006",255
"järva vald","2000","30-39 m²",734,"EE009","EE006",255
"järva vald","2011","30-39 m²",582,"EE009","EE006",255
"järva vald","2021","30-39 m²",638,"EE009","EE006",255
"järva vald","2000","40-49 m²",1526,"EE009","EE006",255
"järva vald","2011","40-49 m²",1222,"EE009","EE006",255
"järva vald","2021","40-49 m²",1442,"EE009","EE006",255
"järva vald","2000","50-59 m²",1306,"EE009","EE006",255
"järva vald","2011","50-59 m²",1156,"EE009","EE006",255
"järva vald","2021","50-59 m²",1196,"EE009","EE006",255
"järva vald","2000","60-69 m²",2178,"EE009","EE006",255
"järva vald","2011","60-69 m²",1918,"EE009","EE006",255
"järva vald","2021","60-69 m²",2080,"EE009","EE006",255
"järva vald","2000","70-79 m²",1570,"EE009","EE006",255
"järva vald","2011","70-79 m²",1382,"EE009","EE006",255
"järva vald","2021","70-79 m²",1626,"EE009","EE006",255
"järva vald","2000","80-99 m²",1734,"EE009","EE006",255
"järva vald","2011","80-99 m²",1588,"EE009","EE006",255
"järva vald","2021","80-99 m²",1972,"EE009","EE006",255
"järva vald","2000","100-119 m²",814,"EE009","EE006",255
"järva vald","2011","100-119 m²",1004,"EE009","EE006",255
"järva vald","2021","100-119 m²",1014,"EE009","EE006",255
"järva vald","2000","120-149 m²",480,"EE009","EE006",255
"järva vald","2011","120-149 m²",622,"EE009","EE006",255
"järva vald","2021","120-149 m²",654,"EE009","EE006",255
"järva vald","2000","150 m² or more",246,"EE009","EE006",255
"järva vald","2011","150 m² or more",722,"EE009","EE006",255
"järva vald","2021","150 m² or more",538,"EE009","EE006",255
"järva vald","2000","Area of dwelling unknown",522,"EE009","EE006",255
"järva vald","2011","Area of dwelling unknown",66,"EE009","EE006",255
"järva vald","2021","Area of dwelling unknown",124,"EE009","EE006",255
"jõelähtme vald","2000","Area of dwelling total",4482,"EE001","EE001",245
"jõelähtme vald","2011","Area of dwelling total",5880,"EE001","EE001",245
"jõelähtme vald","2021","Area of dwelling total",7704,"EE001","EE001",245
"jõelähtme vald","2000","Less than 30 m²",122,"EE001","EE001",245
"jõelähtme vald","2011","Less than 30 m²",80,"EE001","EE001",245
"jõelähtme vald","2021","Less than 30 m²",190,"EE001","EE001",245
"jõelähtme vald","2000","30-39 m²",576,"EE001","EE001",245
"jõelähtme vald","2011","30-39 m²",544,"EE001","EE001",245
"jõelähtme vald","2021","30-39 m²",696,"EE001","EE001",245
"jõelähtme vald","2000","40-49 m²",970,"EE001","EE001",245
"jõelähtme vald","2011","40-49 m²",862,"EE001","EE001",245
"jõelähtme vald","2021","40-49 m²",1326,"EE001","EE001",245
"jõelähtme vald","2000","50-59 m²",634,"EE001","EE001",245
"jõelähtme vald","2011","50-59 m²",644,"EE001","EE001",245
"jõelähtme vald","2021","50-59 m²",832,"EE001","EE001",245
"jõelähtme vald","2000","60-69 m²",602,"EE001","EE001",245
"jõelähtme vald","2011","60-69 m²",568,"EE001","EE001",245
"jõelähtme vald","2021","60-69 m²",710,"EE001","EE001",245
"jõelähtme vald","2000","70-79 m²",304,"EE001","EE001",245
"jõelähtme vald","2011","70-79 m²",328,"EE001","EE001",245
"jõelähtme vald","2021","70-79 m²",610,"EE001","EE001",245
"jõelähtme vald","2000","80-99 m²",432,"EE001","EE001",245
"jõelähtme vald","2011","80-99 m²",484,"EE001","EE001",245
"jõelähtme vald","2021","80-99 m²",686,"EE001","EE001",245
"jõelähtme vald","2000","100-119 m²",220,"EE001","EE001",245
"jõelähtme vald","2011","100-119 m²",506,"EE001","EE001",245
"jõelähtme vald","2021","100-119 m²",572,"EE001","EE001",245
"jõelähtme vald","2000","120-149 m²",148,"EE001","EE001",245
"jõelähtme vald","2011","120-149 m²",590,"EE001","EE001",245
"jõelähtme vald","2021","120-149 m²",816,"EE001","EE001",245
"jõelähtme vald","2000","150 m² or more",224,"EE001","EE001",245
"jõelähtme vald","2011","150 m² or more",1218,"EE001","EE001",245
"jõelähtme vald","2021","150 m² or more",1196,"EE001","EE001",245
"jõelähtme vald","2000","Area of dwelling unknown",250,"EE001","EE001",245
"jõelähtme vald","2011","Area of dwelling unknown",56,"EE001","EE001",245
"jõelähtme vald","2021","Area of dwelling unknown",70,"EE001","EE001",245
"jõgeva vald","2000","Area of dwelling total",15848,"EE008","EE008",247
"jõgeva vald","2011","Area of dwelling total",14884,"EE008","EE008",247
"jõgeva vald","2021","Area of dwelling total",15644,"EE008","EE008",247
"jõgeva vald","2000","Less than 30 m²",674,"EE008","EE008",247
"jõgeva vald","2011","Less than 30 m²",456,"EE008","EE008",247
"jõgeva vald","2021","Less than 30 m²",456,"EE008","EE008",247
"jõgeva vald","2000","30-39 m²",1388,"EE008","EE008",247
"jõgeva vald","2011","30-39 m²",1120,"EE008","EE008",247
"jõgeva vald","2021","30-39 m²",1316,"EE008","EE008",247
"jõgeva vald","2000","40-49 m²",3316,"EE008","EE008",247
"jõgeva vald","2011","40-49 m²",2992,"EE008","EE008",247
"jõgeva vald","2021","40-49 m²",3306,"EE008","EE008",247
"jõgeva vald","2000","50-59 m²",2098,"EE008","EE008",247
"jõgeva vald","2011","50-59 m²",1814,"EE008","EE008",247
"jõgeva vald","2021","50-59 m²",1772,"EE008","EE008",247
"jõgeva vald","2000","60-69 m²",2658,"EE008","EE008",247
"jõgeva vald","2011","60-69 m²",2456,"EE008","EE008",247
"jõgeva vald","2021","60-69 m²",2574,"EE008","EE008",247
"jõgeva vald","2000","70-79 m²",1540,"EE008","EE008",247
"jõgeva vald","2011","70-79 m²",1420,"EE008","EE008",247
"jõgeva vald","2021","70-79 m²",1564,"EE008","EE008",247
"jõgeva vald","2000","80-99 m²",1712,"EE008","EE008",247
"jõgeva vald","2011","80-99 m²",1550,"EE008","EE008",247
"jõgeva vald","2021","80-99 m²",1808,"EE008","EE008",247
"jõgeva vald","2000","100-119 m²",920,"EE008","EE008",247
"jõgeva vald","2011","100-119 m²",1162,"EE008","EE008",247
"jõgeva vald","2021","100-119 m²",1074,"EE008","EE008",247
"jõgeva vald","2000","120-149 m²",478,"EE008","EE008",247
"jõgeva vald","2011","120-149 m²",720,"EE008","EE008",247
"jõgeva vald","2021","120-149 m²",798,"EE008","EE008",247
"jõgeva vald","2000","150 m² or more",312,"EE008","EE008",247
