"Year","Object","Location of the object","Indicator","Quarter","value"
"2007","Unimproved registered immovables","Viljandi county","Number of transactions","4th quarter",168
"2007","Unimproved registered immovables","Viljandi county","Value of transactions, euros","1st-4th quarters",15522694
"2007","Unimproved registered immovables","Viljandi county","Value of transactions, euros","1st quarter",1883948
"2007","Unimproved registered immovables","Viljandi county","Value of transactions, euros","2nd quarter",2579824
"2007","Unimproved registered immovables","Viljandi county","Value of transactions, euros","3rd quarter",3979853
"2007","Unimproved registered immovables","Viljandi county","Value of transactions, euros","4th quarter",7079069
"2007","Unimproved registered immovables","Võru county","Number of transactions","1st-4th quarters",461
"2007","Unimproved registered immovables","Võru county","Number of transactions","1st quarter",114
"2007","Unimproved registered immovables","Võru county","Number of transactions","2nd quarter",111
"2007","Unimproved registered immovables","Võru county","Number of transactions","3rd quarter",120
"2007","Unimproved registered immovables","Võru county","Number of transactions","4th quarter",116
"2007","Unimproved registered immovables","Võru county","Value of transactions, euros","1st-4th quarters",9745824
"2007","Unimproved registered immovables","Võru county","Value of transactions, euros","1st quarter",2073743
"2007","Unimproved registered immovables","Võru county","Value of transactions, euros","2nd quarter",1976455
"2007","Unimproved registered immovables","Võru county","Value of transactions, euros","3rd quarter",3047730
"2007","Unimproved registered immovables","Võru county","Value of transactions, euros","4th quarter",2647896
"2007","..forest land","Whole country","Number of transactions","1st-4th quarters",1817
"2007","..forest land","Whole country","Number of transactions","1st quarter",523
"2007","..forest land","Whole country","Number of transactions","2nd quarter",364
"2007","..forest land","Whole country","Number of transactions","3rd quarter",434
"2007","..forest land","Whole country","Number of transactions","4th quarter",496
"2007","..forest land","Whole country","Value of transactions, euros","1st-4th quarters",30929134
"2007","..forest land","Whole country","Value of transactions, euros","1st quarter",7529573
"2007","..forest land","Whole country","Value of transactions, euros","2nd quarter",5432330
"2007","..forest land","Whole country","Value of transactions, euros","3rd quarter",9381476
"2007","..forest land","Whole country","Value of transactions, euros","4th quarter",8585755
"2007","..forest land","Harju county","Number of transactions","1st-4th quarters",74
"2007","..forest land","Harju county","Number of transactions","1st quarter",29
"2007","..forest land","Harju county","Number of transactions","2nd quarter",16
"2007","..forest land","Harju county","Number of transactions","3rd quarter",10
"2007","..forest land","Harju county","Number of transactions","4th quarter",19
"2007","..forest land","Harju county","Value of transactions, euros","1st-4th quarters",1577073
"2007","..forest land","Harju county","Value of transactions, euros","1st quarter",NA
"2007","..forest land","Harju county","Value of transactions, euros","2nd quarter",297915
"2007","..forest land","Harju county","Value of transactions, euros","3rd quarter",NA
"2007","..forest land","Harju county","Value of transactions, euros","4th quarter",608128
"2007","..forest land","..Tallinn","Number of transactions","1st-4th quarters",0
"2007","..forest land","..Tallinn","Number of transactions","1st quarter",0
"2007","..forest land","..Tallinn","Number of transactions","2nd quarter",0
"2007","..forest land","..Tallinn","Number of transactions","3rd quarter",0
"2007","..forest land","..Tallinn","Number of transactions","4th quarter",0
"2007","..forest land","..Tallinn","Value of transactions, euros","1st-4th quarters",0
"2007","..forest land","..Tallinn","Value of transactions, euros","1st quarter",0
"2007","..forest land","..Tallinn","Value of transactions, euros","2nd quarter",0
"2007","..forest land","..Tallinn","Value of transactions, euros","3rd quarter",0
"2007","..forest land","..Tallinn","Value of transactions, euros","4th quarter",0
"2007","..forest land","Hiiu county","Number of transactions","1st-4th quarters",141
"2007","..forest land","Hiiu county","Number of transactions","1st quarter",87
"2007","..forest land","Hiiu county","Number of transactions","2nd quarter",25
"2007","..forest land","Hiiu county","Number of transactions","3rd quarter",16
"2007","..forest land","Hiiu county","Number of transactions","4th quarter",13
"2007","..forest land","Hiiu county","Value of transactions, euros","1st-4th quarters",928541
"2007","..forest land","Hiiu county","Value of transactions, euros","1st quarter",402949
"2007","..forest land","Hiiu county","Value of transactions, euros","2nd quarter",NA
"2007","..forest land","Hiiu county","Value of transactions, euros","3rd quarter",NA
"2007","..forest land","Hiiu county","Value of transactions, euros","4th quarter",135471
"2007","..forest land","Ida-Viru county","Number of transactions","1st-4th quarters",162
"2007","..forest land","Ida-Viru county","Number of transactions","1st quarter",45
"2007","..forest land","Ida-Viru county","Number of transactions","2nd quarter",30
"2007","..forest land","Ida-Viru county","Number of transactions","3rd quarter",37
"2007","..forest land","Ida-Viru county","Number of transactions","4th quarter",50
"2007","..forest land","Ida-Viru county","Value of transactions, euros","1st-4th quarters",2435232
"2007","..forest land","Ida-Viru county","Value of transactions, euros","1st quarter",NA
"2007","..forest land","Ida-Viru county","Value of transactions, euros","2nd quarter",NA
"2007","..forest land","Ida-Viru county","Value of transactions, euros","3rd quarter",654109
"2007","..forest land","Ida-Viru county","Value of transactions, euros","4th quarter",833022
"2007","..forest land","Jõgeva county","Number of transactions","1st-4th quarters",171
"2007","..forest land","Jõgeva county","Number of transactions","1st quarter",60
"2007","..forest land","Jõgeva county","Number of transactions","2nd quarter",39
"2007","..forest land","Jõgeva county","Number of transactions","3rd quarter",22
"2007","..forest land","Jõgeva county","Number of transactions","4th quarter",50
"2007","..forest land","Jõgeva county","Value of transactions, euros","1st-4th quarters",1810450
"2007","..forest land","Jõgeva county","Value of transactions, euros","1st quarter",529533
"2007","..forest land","Jõgeva county","Value of transactions, euros","2nd quarter",231512
"2007","..forest land","Jõgeva county","Value of transactions, euros","3rd quarter",411915
"2007","..forest land","Jõgeva county","Value of transactions, euros","4th quarter",637491
"2007","..forest land","Järva county","Number of transactions","1st-4th quarters",200
"2007","..forest land","Järva county","Number of transactions","1st quarter",50
"2007","..forest land","Järva county","Number of transactions","2nd quarter",21
"2007","..forest land","Järva county","Number of transactions","3rd quarter",79
"2007","..forest land","Järva county","Number of transactions","4th quarter",50
"2007","..forest land","Järva county","Value of transactions, euros","1st-4th quarters",3048659
"2007","..forest land","Järva county","Value of transactions, euros","1st quarter",432828
"2007","..forest land","Järva county","Value of transactions, euros","2nd quarter",314037
