"Year","Quarter","County","Type of purchase-sale contract","Indicator","value"
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",483
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",5899
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",285
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",2708.8
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of ownership of dwellings","Number of contracts",276
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",1083.5
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",45
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",1253.6
"2001","Ascending total","Lääne-Viru county","Purchase-sale contracts of right of superficies","Number of contracts",2
"2001","Ascending total","Lääne-Viru county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",60.7
"2001","Ascending total","Lääne-Viru county","Purchase-sale contracts of movable assets**","Number of contracts",898
"2001","Ascending total","Lääne-Viru county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",3423.2
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of residential buildings**","Number of contracts",191
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",732.9
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of dwellings**","Number of contracts",580
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",1391.3
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",127
"2001","Ascending total","Lääne-Viru county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",1299
"2001","Ascending total","Põlva county","Purchase-sale contracts total","Number of contracts",931
"2001","Ascending total","Põlva county","Purchase-sale contracts total","Value of contracts, thousand euros",5241.2
"2001","Ascending total","Põlva county","Purchase-sale contracts of real estate","Number of contracts",609
"2001","Ascending total","Põlva county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",4264.8
"2001","Ascending total","Põlva county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",345
"2001","Ascending total","Põlva county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",2686.5
"2001","Ascending total","Põlva county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",131
"2001","Ascending total","Põlva county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",1056.3
"2001","Ascending total","Põlva county","..purchase-sale contracts of ownership of dwellings","Number of contracts",116
"2001","Ascending total","Põlva county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",216.2
"2001","Ascending total","Põlva county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",17
"2001","Ascending total","Põlva county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",305.8
"2001","Ascending total","Põlva county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2001","Ascending total","Põlva county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2001","Ascending total","Põlva county","Purchase-sale contracts of movable assets**","Number of contracts",322
"2001","Ascending total","Põlva county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",976.4
"2001","Ascending total","Põlva county","..purchase-sale contracts of residential buildings**","Number of contracts",76
"2001","Ascending total","Põlva county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",187.3
"2001","Ascending total","Põlva county","..purchase-sale contracts of dwellings**","Number of contracts",191
"2001","Ascending total","Põlva county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",306.7
"2001","Ascending total","Põlva county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",55
