nuts,year,type,indicator,value,level
EE_0214,2008,house,ppm2,440,laucode
EE_0214,2009,all,ppm2,256,laucode
EE_0214,2009,flat,ppm2,258,laucode
EE_0214,2009,house,ppm2,256,laucode
EE_0214,2010,all,ppm2,209,laucode
EE_0214,2010,flat,ppm2,159,laucode
EE_0214,2010,house,ppm2,259,laucode
EE_0214,2011,all,ppm2,311,laucode
EE_0214,2011,flat,ppm2,203,laucode
EE_0214,2011,house,ppm2,483,laucode
EE_0214,2012,all,ppm2,321,laucode
EE_0214,2012,flat,ppm2,282,laucode
EE_0214,2012,house,ppm2,368,laucode
EE_0214,2013,all,ppm2,344,laucode
EE_0214,2013,flat,ppm2,281,laucode
EE_0214,2013,house,ppm2,422,laucode
EE_0214,2014,all,ppm2,328,laucode
EE_0214,2014,flat,ppm2,284,laucode
EE_0214,2014,house,ppm2,360,laucode
EE_0214,2015,all,ppm2,341,laucode
EE_0214,2015,flat,ppm2,272,laucode
EE_0214,2015,house,ppm2,426,laucode
EE_0214,2016,all,ppm2,358,laucode
EE_0214,2016,flat,ppm2,329,laucode
EE_0214,2016,house,ppm2,377,laucode
EE_0214,2017,all,ppm2,421,laucode
EE_0214,2017,flat,ppm2,326,laucode
EE_0214,2017,house,ppm2,507,laucode
EE_0214,2018,all,ppm2,451,laucode
EE_0214,2018,flat,ppm2,346,laucode
EE_0214,2018,house,ppm2,546,laucode
EE_0214,2019,all,ppm2,455,laucode
EE_0214,2019,flat,ppm2,407,laucode
EE_0214,2019,house,ppm2,496,laucode
EE_0214,2020,all,ppm2,489,laucode
EE_0214,2020,flat,ppm2,316,laucode
EE_0214,2020,house,ppm2,638,laucode
EE_0214,2021,all,ppm2,678,laucode
EE_0214,2021,flat,ppm2,458,laucode
EE_0214,2021,house,ppm2,831,laucode
EE_0214,2022,all,ppm2,636,laucode
EE_0214,2022,flat,ppm2,563,laucode
EE_0214,2022,house,ppm2,695,laucode
EE_0214,2023,all,ppm2,796,laucode
EE_0214,2023,flat,ppm2,674,laucode
EE_0214,2023,house,ppm2,941,laucode
EE_0214,2024,all,ppm2,814,laucode
EE_0214,2024,flat,ppm2,676,laucode
EE_0214,2024,house,ppm2,955,laucode
EE_0214,2025,all,ppm2,996,laucode
EE_0214,2025,flat,ppm2,762,laucode
EE_0214,2025,house,ppm2,1187,laucode
EE_0245,2005,all,ppm2,611,laucode
EE_0245,2005,flat,ppm2,588,laucode
EE_0245,2005,house,ppm2,689,laucode
EE_0245,2006,all,ppm2,830,laucode
EE_0245,2006,flat,ppm2,885,laucode
EE_0245,2006,house,ppm2,679,laucode
EE_0245,2007,all,ppm2,1018,laucode
EE_0245,2007,flat,ppm2,1045,laucode
EE_0245,2007,house,ppm2,917,laucode
EE_0245,2008,all,ppm2,977,laucode
EE_0245,2008,flat,ppm2,964,laucode
EE_0245,2008,house,ppm2,1057,laucode
EE_0245,2009,all,ppm2,604,laucode
EE_0245,2009,flat,ppm2,520,laucode
EE_0245,2009,house,ppm2,965,laucode
EE_0245,2010,all,ppm2,673,laucode
EE_0245,2010,flat,ppm2,603,laucode
EE_0245,2010,house,ppm2,889,laucode
EE_0245,2011,all,ppm2,705,laucode
EE_0245,2011,flat,ppm2,571,laucode
EE_0245,2011,house,ppm2,1000,laucode
EE_0245,2012,all,ppm2,766,laucode
EE_0245,2012,flat,ppm2,600,laucode
EE_0245,2012,house,ppm2,1240,laucode
EE_0245,2013,all,ppm2,759,laucode
EE_0245,2013,flat,ppm2,704,laucode
EE_0245,2013,house,ppm2,1093,laucode
EE_0245,2014,all,ppm2,861,laucode
EE_0245,2014,flat,ppm2,823,laucode
EE_0245,2014,house,ppm2,1046,laucode
EE_0245,2015,all,ppm2,892,laucode
EE_0245,2015,flat,ppm2,904,laucode
EE_0245,2015,house,ppm2,877,laucode
EE_0245,2016,all,ppm2,1113,laucode
EE_0245,2016,flat,ppm2,1107,laucode
EE_0245,2016,house,ppm2,1190,laucode
EE_0245,2017,all,ppm2,1187,laucode
EE_0245,2017,flat,ppm2,1174,laucode
EE_0245,2017,house,ppm2,1287,laucode
EE_0245,2018,all,ppm2,1301,laucode
EE_0245,2018,flat,ppm2,1321,laucode
EE_0245,2018,house,ppm2,1215,laucode
EE_0245,2019,all,ppm2,1304,laucode
EE_0245,2019,flat,ppm2,1334,laucode
EE_0245,2019,house,ppm2,1196,laucode
EE_0245,2020,all,ppm2,1542,laucode
EE_0245,2020,flat,ppm2,1541,laucode
EE_0245,2020,house,ppm2,1548,laucode
EE_0245,2021,all,ppm2,1730,laucode
EE_0245,2021,flat,ppm2,1765,laucode
EE_0245,2021,house,ppm2,1661,laucode
