date_adscrape,date_adcreate,date_adadjust,idhref,type,postcode,city_name,ad_price,ad_price_fx,ad_fx,rooms,floor_m2,construct_year,price_m2,LAU_code,GEOnat_code,NUTS_code,isnew,plot_m2,ad_details,scraper
2018-11-27,,,15332937,flat,,Botkyrka,1450000,145000,EUR,1,31.9,1960,45454.5454545455,SE_0127,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-1rum-uttran-botkyrka-kommun-segersjovagen-55-15332937,luca
2018-11-27,,,15203495,flat,,Stockholm,3495000,349500,EUR,4,112,1990,31205.3571428571,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-4rum-stockholms-kommun-farstavagen-145-15203495,luca
2018-11-27,,,15333575,flat,,Stockholm,4495000,449500,EUR,2,59,1897,76186.4406779661,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-2rum-sodermalm-stockholms-kommun-mariatorget-8-15333575,luca
2018-11-27,,,15333715,house,,Haninge,2895000,289500,EUR,5,133,1975,21766.9172932331,SE_0136,,SE110,FALSE,,https://www.hemnet.se/bostad/radhus-5rum-haninge-haninge-kommun-valfiskens-gata-726-15333715,luca
2018-11-27,,,15332796,flat,,Stockholm,1995000,199500,EUR,2,42,1938,47500,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-2rum-skarmarbrink-stockholms-kommun-thunbergsgatan-18-15332796,luca
2018-11-27,,,15333775,flat,,Stockholm,3650000,365000,EUR,3,66,1948,55303.0303030303,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-3rum-bjorkhagen-stockholms-kommun-ronnebyvagen-8a-15333775,luca
2018-11-27,,,15333795,flat,,Stockholm,2250000,225000,EUR,2,43,1944,52325.5813953488,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2rum-blasut-stockholms-kommun-sofielundsplan-57,-3tr-15333795",luca
2018-11-27,,,15333755,flat,,Haninge,2495000,249500,EUR,5,111,1989,22477.4774774775,SE_0136,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-5rum-vendelso-martensberg-haninge-kommun-martensbergsvagen-18-15333755,luca
2018-11-27,,,15333735,flat,,Upplands Väsby,1895000,189500,EUR,2,51,1951,37156.862745098,SE_0114,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2rum-centralt-upplands-vasby-kommun-finspangsvagen-1c,-3tr-15333735",luca
2018-11-27,,,11676079,flat,,Stockholm,2975000,297500,EUR,1,43,1905,69186.0465116279,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-1rum-vasastan-stockholms-kommun-roslagsgatan-54-11676079,luca
2018-11-27,,,15334055,flat,,Norrtälje,550000,55000,EUR,2,58,1956,9482.75862068966,SE_0188,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2rum-almsta-norrtalje-kommun-centrumvagen-5-b,-0,5-tr-15334055",luca
2018-11-27,,,15332177,flat,,Stockholm,5195000,519500,EUR,2,63,1912,82460.3174603175,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2rum-sodermalm-hornstull-stockholms-kommun-hogalidsgatan-48c,-1-tr-15332177",luca
